county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,other,votes
Taylor,4-Salem Baptist Church,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,State Representative,7,Jason Shoaf,REP,55,22,37,0,0,114
Taylor,4-Salem Baptist Church,State Representative,7,Taymour Khan,DEM,3,3,4,0,0,10
Taylor,4-Salem Baptist Church,State Representative,7,Undervotes,,2,1,0,1,0,4
Taylor,4-Salem Baptist Church,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,Registered Voters,,,,,,,,,946
Taylor,5-Steinhatchee Comm Cntr,Ballots Cast,,,,420,142,241,1,0,804
Taylor,5-Steinhatchee Comm Cntr,President,,Donald J. Trump,REP,379,122,181,1,0,683
Taylor,5-Steinhatchee Comm Cntr,President,,Joseph R. Biden,DEM,37,20,57,0,0,114
Taylor,5-Steinhatchee Comm Cntr,President,,Jo Jorgensen,LPF,1,0,1,0,0,2
Taylor,5-Steinhatchee Comm Cntr,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,President,,Gloria La Riva,PSL,0,0,1,0,0,1
Taylor,5-Steinhatchee Comm Cntr,President,,Howie Hawkins,GRE,1,0,1,0,0,2
Taylor,5-Steinhatchee Comm Cntr,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,President,,Write-in,,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,President,,Undervotes,,2,0,0,0,0,2
Taylor,5-Steinhatchee Comm Cntr,President,,Overvotes,,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,U.S. House,2,Neal Dunn,REP,387,120,197,1,0,705
Taylor,5-Steinhatchee Comm Cntr,U.S. House,2,Write-in,,3,3,4,0,0,10
Taylor,5-Steinhatchee Comm Cntr,U.S. House,2,Undervotes,,30,19,40,0,0,89
Taylor,5-Steinhatchee Comm Cntr,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,State Senate,3,Marva Harris Preston,REP,367,118,174,1,0,660
Taylor,5-Steinhatchee Comm Cntr,State Senate,3,Loranne Ausley,DEM,35,21,57,0,0,113
Taylor,5-Steinhatchee Comm Cntr,State Senate,3,Undervotes,,18,3,10,0,0,31
Taylor,5-Steinhatchee Comm Cntr,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,5-Steinhatchee Comm Cntr,State Representative,7,Jason Shoaf,REP,374,118,176,1,0,669
Taylor,5-Steinhatchee Comm Cntr,State Representative,7,Taymour Khan,DEM,29,16,52,0,0,97
