candidate,office,district,party,county,precinct,votes,election_day,mail,early_voting,provisional
Howie Hawkins,President,,GRE,Liberty,Hosford,1,0,0,1,0
Don Blankenship,President,,CPF,Liberty,Hosford,1,1,0,0,0
Write-In,President,,,Liberty,Hosford,2,1,0,1,0
Neal Dunn,U.S. House,2,REP,Liberty,Hosford,439,122,67,250,0
Write-In,U.S. House,2,,Liberty,Hosford,8,1,3,4,0
Marva Harris Preston,State Senate,3,REP,Liberty,Hosford,382,111,50,221,0
Loranne Ausley,State Senate,3,DEM,Liberty,Hosford,105,22,25,58,0
Jason Shoaf,State House,7,REP,Liberty,Hosford,408,118,58,232,0
Taymour Khan,State House,7,DEM,Liberty,Hosford,63,10,14,39,0
Registered Voters,,,,Liberty,Telogia,707,,,,
Ballots Cast,,,,Liberty,Telogia,547,213,73,261,0
Ballots Cast Blank,,,,Liberty,Telogia,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Telogia,484,199,53,232,0
Joseph R Biden,President,,DEM,Liberty,Telogia,61,14,18,29,0
Jo Jorgensen,President,,LPF,Liberty,Telogia,1,0,1,0,0
De La Fuente,President,,REF,Liberty,Telogia,0,0,0,0,0
La Riva,President,,PSL,Liberty,Telogia,0,0,0,0,0
Howie Hawkins,President,,GRE,Liberty,Telogia,0,0,0,0,0
Don Blankenship,President,,CPF,Liberty,Telogia,0,0,0,0,0
Write-In,President,,,Liberty,Telogia,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Liberty,Telogia,469,190,61,218,0
Write-In,U.S. House,2,,Liberty,Telogia,7,0,2,5,0
Marva Harris Preston,State Senate,3,REP,Liberty,Telogia,387,157,41,189,0
Loranne Ausley,State Senate,3,DEM,Liberty,Telogia,114,31,31,52,0
Jason Shoaf,State House,7,REP,Liberty,Telogia,423,170,49,204,0
Taymour Khan,State House,7,DEM,Liberty,Telogia,62,17,20,25,0
Registered Voters,,,,Liberty,Sumatra,180,,,,
Ballots Cast,,,,Liberty,Sumatra,141,86,23,32,0
Ballots Cast Blank,,,,Liberty,Sumatra,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Sumatra,130,82,19,29,0
Joseph R Biden,President,,DEM,Liberty,Sumatra,11,4,4,3,0
Jo Jorgensen,President,,LPF,Liberty,Sumatra,0,0,0,0,0
De La Fuente,President,,REF,Liberty,Sumatra,0,0,0,0,0
La Riva,President,,PSL,Liberty,Sumatra,0,0,0,0,0
Howie Hawkins,President,,GRE,Liberty,Sumatra,0,0,0,0,0
Don Blankenship,President,,CPF,Liberty,Sumatra,0,0,0,0,0
Write-In,President,,,Liberty,Sumatra,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Liberty,Sumatra,122,73,20,29,0
Write-In,U.S. House,2,,Liberty,Sumatra,0,0,0,0,0
Marva Harris Preston,State Senate,3,REP,Liberty,Sumatra,113,71,17,25,0
Loranne Ausley,State Senate,3,DEM,Liberty,Sumatra,15,5,6,4,0
Jason Shoaf,State House,7,REP,Liberty,Sumatra,113,70,17,26,0
Taymour Khan,State House,7,DEM,Liberty,Sumatra,10,5,2,3,0
Registered Voters,,,,Liberty,Orange,268,,,,
Ballots Cast,,,,Liberty,Orange,215,91,35,89,0
Ballots Cast Blank,,,,Liberty,Orange,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Orange,168,73,17,78,0
Joseph R Biden,President,,DEM,Liberty,Orange,45,16,18,11,0
Jo Jorgensen,President,,LPF,Liberty,Orange,1,1,0,0,0
De La Fuente,President,,REF,Liberty,Orange,0,0,0,0,0
La Riva,President,,PSL,Liberty,Orange,0,0,0,0,0
Howie Hawkins,President,,GRE,Liberty,Orange,0,0,0,0,0
Don Blankenship,President,,CPF,Liberty,Orange,0,0,0,0,0
Write-In,President,,,Liberty,Orange,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Liberty,Orange,170,70,24,76,0
Write-In,U.S. House,2,,Liberty,Orange,3,1,1,1,0
Marva Harris Preston,State Senate,3,REP,Liberty,Orange,150,60,17,73,0
Loranne Ausley,State Senate,3,DEM,Liberty,Orange,52,22,17,13,0
Jason Shoaf,State House,7,REP,Liberty,Orange,161,68,18,75,0
Taymour Khan,State House,7,DEM,Liberty,Orange,39,14,16,9,0
