county,precinct,office,district,party,candidate,election_day,early_voting,mail,votes
Orange,110,President,,DEM,Joseph R. Biden,109,568,1029,1706
Orange,110,President,,LPF,Jo Jorgensen,,,,21
Orange,110,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,110,President,,PSL,Gloria La Riva,,,,0
Orange,110,President,,GRE,Howie Hawkins,,,,4
Orange,110,President,,CPF,Don Blankenship,,,,1
Orange,110,President,,,WRITE-IN,,,,2
Orange,110,President,,,OVER VOTES,,,,7
Orange,110,President,,,UNDER VOTES,,,,21
Orange,111,President,,REP,Donald J. Trump,,,,1554
Orange,111,President,,DEM,Joseph R. Biden,108,374,657,1139
Orange,111,President,,LPF,Jo Jorgensen,,,,23
Orange,111,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,111,President,,PSL,Gloria La Riva,,,,1
Orange,111,President,,GRE,Howie Hawkins,,,,6
Orange,111,President,,CPF,Don Blankenship,,,,2
Orange,111,President,,,WRITE-IN,,,,10
Orange,111,President,,,OVER VOTES,,,,1
Orange,111,President,,,UNDER VOTES,,,,16
Orange,112,President,,REP,Donald J. Trump,190,612,422,1224
Orange,112,President,,DEM,Joseph R. Biden,59,441,635,1135
Orange,112,President,,LPF,Jo Jorgensen,,,,15
Orange,112,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,112,President,,PSL,Gloria La Riva,,,,1
Orange,112,President,,GRE,Howie Hawkins,,,,9
Orange,112,President,,CPF,Don Blankenship,,,,0
Orange,112,President,,,WRITE-IN,,,,8
Orange,112,President,,,OVER VOTES,,,,2
Orange,112,President,,,UNDER VOTES,,,,6
Orange,113,President,,REP,Donald J. Trump,276,829,475,1580
Orange,113,President,,DEM,Joseph R. Biden,165,712,889,1766
Orange,113,President,,LPF,Jo Jorgensen,,,,22
Orange,113,President,,REF,"Roque ""Rocky"" De La Fuente",,,,3
Orange,113,President,,PSL,Gloria La Riva,,,,1
Orange,113,President,,GRE,Howie Hawkins,,,,2
Orange,113,President,,CPF,Don Blankenship,,,,0
Orange,113,President,,,WRITE-IN,,,,11
Orange,113,President,,,OVER VOTES,,,,5
Orange,113,President,,,UNDER VOTES,,,,11
Orange,114,President,,REP,Donald J. Trump,170,395,226,791
Orange,114,President,,DEM,Joseph R. Biden,,,,1486
Orange,114,President,,LPF,Jo Jorgensen,,,,22
Orange,114,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,114,President,,PSL,Gloria La Riva,,,,2
Orange,114,President,,GRE,Howie Hawkins,,,,6
Orange,114,President,,CPF,Don Blankenship,,,,1
Orange,114,President,,,WRITE-IN,,,,3
Orange,114,President,,,OVER VOTES,,,,5
Orange,114,President,,,UNDER VOTES,,,,6
Orange,115,President,,REP,Donald J. Trump,214,873,477,1564
Orange,115,President,,DEM,Joseph R. Biden,,,,1714
Orange,115,President,,LPF,Jo Jorgensen,,,,20
Orange,115,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,115,President,,PSL,Gloria La Riva,,,,0
Orange,115,President,,GRE,Howie Hawkins,,,,4
Orange,115,President,,CPF,Don Blankenship,,,,0
Orange,115,President,,,WRITE-IN,,,,6
Orange,115,President,,,OVER VOTES,,,,5
Orange,115,President,,,UNDER VOTES,,,,9
Orange,116,President,,REP,Donald J. Trump,173,723,432,1328
Orange,116,President,,DEM,Joseph R. Biden,101,725,944,1770
Orange,116,President,,LPF,Jo Jorgensen,,,,19
Orange,116,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,116,President,,PSL,Gloria La Riva,,,,2
Orange,116,President,,GRE,Howie Hawkins,,,,6
Orange,116,President,,CPF,Don Blankenship,,,,1
Orange,116,President,,,WRITE-IN,,,,7
Orange,116,President,,,OVER VOTES,,,,4
Orange,116,President,,,UNDER VOTES,,,,10
Orange,117,President,,REP,Donald J. Trump,293,352,296,941
Orange,117,President,,DEM,Joseph R. Biden,231,541,892,1664
Orange,117,President,,LPF,Jo Jorgensen,,,,25
Orange,117,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,117,President,,PSL,Gloria La Riva,,,,0
Orange,117,President,,GRE,Howie Hawkins,,,,5
Orange,117,President,,CPF,Don Blankenship,,,,2
Orange,117,President,,,WRITE-IN,,,,11
Orange,117,President,,,OVER VOTES,,,,7
Orange,117,President,,,UNDER VOTES,,,,10
Orange,118,President,,REP,Donald J. Trump,343,400,350,1093
Orange,118,President,,DEM,Joseph R. Biden,201,432,835,1468
Orange,118,President,,LPF,Jo Jorgensen,,,,15
Orange,118,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,118,President,,PSL,Gloria La Riva,,,,4
Orange,118,President,,GRE,Howie Hawkins,,,,2
Orange,118,President,,CPF,Don Blankenship,,,,1
Orange,118,President,,,WRITE-IN,,,,5
Orange,118,President,,,OVER VOTES,,,,0
Orange,118,President,,,UNDER VOTES,,,,2
Orange,119,President,,REP,Donald J. Trump,239,607,339,1185
Orange,119,President,,DEM,Joseph R. Biden,159,667,1054,1880
Orange,119,President,,LPF,Jo Jorgensen,,,,20
Orange,119,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,119,President,,PSL,Gloria La Riva,,,,2
Orange,119,President,,GRE,Howie Hawkins,,,,2
Orange,119,President,,CPF,Don Blankenship,,,,1
Orange,119,President,,,WRITE-IN,,,,10
Orange,119,President,,,OVER VOTES,,,,8
Orange,119,President,,,UNDER VOTES,,,,7
Orange,120,President,,REP,Donald J. Trump,,,,1060
Orange,120,President,,DEM,Joseph R. Biden,147,457,782,1386
Orange,120,President,,LPF,Jo Jorgensen,,,,13
Orange,120,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,120,President,,PSL,Gloria La Riva,,,,1
Orange,120,President,,GRE,Howie Hawkins,,,,2
Orange,120,President,,CPF,Don Blankenship,,,,0
Orange,120,President,,,WRITE-IN,,,,9
Orange,120,President,,,OVER VOTES,,,,1
Orange,120,President,,,UNDER VOTES,,,,4
Orange,121,President,,REP,Donald J. Trump,237,442,279,958
Orange,121,President,,DEM,Joseph R. Biden,214,546,799,1559
Orange,121,President,,LPF,Jo Jorgensen,,,,10
Orange,121,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,121,President,,PSL,Gloria La Riva,,,,1
Orange,121,President,,GRE,Howie Hawkins,,,,4
Orange,121,President,,CPF,Don Blankenship,,,,0
Orange,121,President,,,WRITE-IN,,,,3
Orange,121,President,,,OVER VOTES,,,,3
Orange,121,President,,,UNDER VOTES,,,,8
Orange,122,President,,REP,Donald J. Trump,125,371,213,709
Orange,122,President,,DEM,Joseph R. Biden,120,502,687,1309
Orange,122,President,,LPF,Jo Jorgensen,,,,11
Orange,122,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,122,President,,PSL,Gloria La Riva,,,,0
Orange,122,President,,GRE,Howie Hawkins,,,,6
Orange,122,President,,CPF,Don Blankenship,,,,0
Orange,122,President,,,WRITE-IN,,,,7
Orange,122,President,,,OVER VOTES,,,,1
Orange,122,President,,,UNDER VOTES,,,,2
Orange,123,President,,REP,Donald J. Trump,154,564,383,1101
Orange,123,President,,DEM,Joseph R. Biden,,,,1584
Orange,123,President,,LPF,Jo Jorgensen,,,,8
Orange,123,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,123,President,,PSL,Gloria La Riva,,,,0
Orange,123,President,,GRE,Howie Hawkins,,,,4
Orange,123,President,,CPF,Don Blankenship,,,,0
Orange,123,President,,,WRITE-IN,,,,6
Orange,123,President,,,OVER VOTES,,,,5
Orange,123,President,,,UNDER VOTES,,,,4
Orange,124,President,,REP,Donald J. Trump,,,,1250
Orange,124,President,,DEM,Joseph R. Biden,,,,3308
Orange,124,President,,LPF,Jo Jorgensen,,,,52
Orange,124,President,,REF,"Roque ""Rocky"" De La Fuente",,,,3
Orange,124,President,,PSL,Gloria La Riva,,,,4
Orange,124,President,,GRE,Howie Hawkins,,,,15
Orange,124,President,,CPF,Don Blankenship,,,,0
Orange,124,President,,,WRITE-IN,,,,16
Orange,124,President,,,OVER VOTES,,,,11
Orange,124,President,,,UNDER VOTES,,,,6
Orange,125,President,,REP,Donald J. Trump,212,814,437,1463
Orange,125,President,,DEM,Joseph R. Biden,112,647,898,1657
Orange,125,President,,LPF,Jo Jorgensen,,,,11
Orange,125,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,125,President,,PSL,Gloria La Riva,,,,0
Orange,125,President,,GRE,Howie Hawkins,,,,5
Orange,125,President,,CPF,Don Blankenship,,,,3
Orange,125,President,,,WRITE-IN,,,,2
Orange,125,President,,,OVER VOTES,,,,3
Orange,125,President,,,UNDER VOTES,,,,11
Orange,126,President,,REP,Donald J. Trump,504,792,404,1700
Orange,126,President,,DEM,Joseph R. Biden,,,,1831
Orange,126,President,,LPF,Jo Jorgensen,,,,28
Orange,126,President,,REF,"Roque ""Rocky"" De La Fuente",,,,3
Orange,126,President,,PSL,Gloria La Riva,,,,2
Orange,126,President,,GRE,Howie Hawkins,,,,8
Orange,126,President,,CPF,Don Blankenship,,,,1
Orange,126,President,,,WRITE-IN,,,,8
Orange,126,President,,,OVER VOTES,,,,5
Orange,126,President,,,UNDER VOTES,,,,3
Orange,127,President,,REP,Donald J. Trump,162,498,313,973
Orange,127,President,,DEM,Joseph R. Biden,76,345,497,918
Orange,127,President,,LPF,Jo Jorgensen,,,,14
Orange,127,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,127,President,,PSL,Gloria La Riva,,,,1
Orange,127,President,,GRE,Howie Hawkins,,,,2
Orange,127,President,,CPF,Don Blankenship,,,,1
Orange,127,President,,,WRITE-IN,,,,3
Orange,127,President,,,OVER VOTES,,,,1
Orange,127,President,,,UNDER VOTES,,,,7
Orange,128,President,,REP,Donald J. Trump,222,917,520,1659
Orange,128,President,,DEM,Joseph R. Biden,84,553,785,1422
Orange,128,President,,LPF,Jo Jorgensen,,,,13
Orange,128,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,128,President,,PSL,Gloria La Riva,,,,3
Orange,128,President,,GRE,Howie Hawkins,,,,1
Orange,128,President,,CPF,Don Blankenship,,,,0
Orange,128,President,,,WRITE-IN,,,,8
Orange,128,President,,,OVER VOTES,,,,2
Orange,128,President,,,UNDER VOTES,,,,15
Orange,129,President,,REP,Donald J. Trump,,,,1767
Orange,129,President,,DEM,Joseph R. Biden,143,284,497,924
Orange,129,President,,LPF,Jo Jorgensen,,,,17
Orange,129,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,129,President,,PSL,Gloria La Riva,,,,0
Orange,129,President,,GRE,Howie Hawkins,,,,4
Orange,129,President,,CPF,Don Blankenship,,,,1
Orange,129,President,,,WRITE-IN,,,,4
Orange,129,President,,,OVER VOTES,,,,0
Orange,129,President,,,UNDER VOTES,,,,17
Orange,130,President,,REP,Donald J. Trump,399,1254,830,2483
Orange,130,President,,DEM,Joseph R. Biden,,,,1849
Orange,130,President,,LPF,Jo Jorgensen,,,,23
Orange,130,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,130,President,,PSL,Gloria La Riva,,,,1
Orange,130,President,,GRE,Howie Hawkins,,,,2
Orange,130,President,,CPF,Don Blankenship,,,,0
Orange,130,President,,,WRITE-IN,,,,9
Orange,130,President,,,OVER VOTES,,,,8
Orange,130,President,,,UNDER VOTES,,,,17
Orange,131,President,,REP,Donald J. Trump,293,984,615,1892
Orange,131,President,,DEM,Joseph R. Biden,194,877,1170,2241
Orange,131,President,,LPF,Jo Jorgensen,,,,28
Orange,131,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,131,President,,PSL,Gloria La Riva,,,,0
Orange,131,President,,GRE,Howie Hawkins,,,,13
Orange,131,President,,CPF,Don Blankenship,,,,2
Orange,131,President,,,WRITE-IN,,,,17
Orange,131,President,,,OVER VOTES,,,,7
Orange,131,President,,,UNDER VOTES,,,,8
Orange,132,President,,REP,Donald J. Trump,,,,2358
Orange,132,President,,DEM,Joseph R. Biden,245,872,1141,2258
Orange,132,President,,LPF,Jo Jorgensen,,,,48
Orange,132,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,132,President,,PSL,Gloria La Riva,,,,1
Orange,132,President,,GRE,Howie Hawkins,,,,8
Orange,132,President,,CPF,Don Blankenship,,,,0
Orange,132,President,,,WRITE-IN,,,,17
Orange,132,President,,,OVER VOTES,,,,9
Orange,132,President,,,UNDER VOTES,,,,15
Orange,133,President,,REP,Donald J. Trump,258,1205,587,2050
Orange,133,President,,DEM,Joseph R. Biden,140,1007,1221,2368
Orange,133,President,,LPF,Jo Jorgensen,,,,32
Orange,133,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,133,President,,PSL,Gloria La Riva,,,,0
Orange,133,President,,GRE,Howie Hawkins,,,,4
Orange,133,President,,CPF,Don Blankenship,,,,2
Orange,133,President,,,WRITE-IN,,,,7
Orange,133,President,,,OVER VOTES,,,,2
Orange,133,President,,,UNDER VOTES,,,,14
Orange,134,President,,REP,Donald J. Trump,,,,1856
Orange,134,President,,DEM,Joseph R. Biden,,,,1965
Orange,134,President,,LPF,Jo Jorgensen,,,,23
Orange,134,President,,REF,"Roque ""Rocky"" De La Fuente",,,,7
Orange,134,President,,PSL,Gloria La Riva,,,,0
Orange,134,President,,GRE,Howie Hawkins,,,,1
Orange,134,President,,CPF,Don Blankenship,,,,0
Orange,134,President,,,WRITE-IN,,,,9
Orange,134,President,,,OVER VOTES,,,,2
Orange,134,President,,,UNDER VOTES,,,,9
Orange,135,President,,REP,Donald J. Trump,,,,1896
Orange,135,President,,DEM,Joseph R. Biden,,,,2125
Orange,135,President,,LPF,Jo Jorgensen,,,,28
Orange,135,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,135,President,,PSL,Gloria La Riva,,,,2
Orange,135,President,,GRE,Howie Hawkins,,,,5
Orange,135,President,,CPF,Don Blankenship,,,,0
Orange,135,President,,,WRITE-IN,,,,19
Orange,135,President,,,OVER VOTES,,,,6
Orange,135,President,,,UNDER VOTES,,,,8
Orange,136,President,,REP,Donald J. Trump,174,547,341,1062
Orange,136,President,,DEM,Joseph R. Biden,62,338,531,931
Orange,136,President,,LPF,Jo Jorgensen,,,,14
Orange,136,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,136,President,,PSL,Gloria La Riva,,,,1
Orange,136,President,,GRE,Howie Hawkins,,,,4
Orange,136,President,,CPF,Don Blankenship,,,,2
Orange,136,President,,,WRITE-IN,,,,8
Orange,136,President,,,OVER VOTES,,,,2
Orange,136,President,,,UNDER VOTES,,,,7
Orange,137,President,,REP,Donald J. Trump,157,316,197,670
Orange,137,President,,DEM,Joseph R. Biden,144,498,641,1283
Orange,137,President,,LPF,Jo Jorgensen,,,,7
Orange,137,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,137,President,,PSL,Gloria La Riva,,,,2
Orange,137,President,,GRE,Howie Hawkins,,,,5
Orange,137,President,,CPF,Don Blankenship,,,,0
Orange,137,President,,,WRITE-IN,,,,3
Orange,137,President,,,OVER VOTES,,,,5
Orange,137,President,,,UNDER VOTES,,,,5
Orange,138,President,,REP,Donald J. Trump,234,953,485,1672
Orange,138,President,,DEM,Joseph R. Biden,92,550,853,1495
Orange,138,President,,LPF,Jo Jorgensen,,,,16
Orange,138,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,138,President,,PSL,Gloria La Riva,,,,3
Orange,138,President,,GRE,Howie Hawkins,,,,3
Orange,138,President,,CPF,Don Blankenship,,,,0
Orange,138,President,,,WRITE-IN,,,,5
Orange,138,President,,,OVER VOTES,,,,2
Orange,138,President,,,UNDER VOTES,,,,7
Orange,139,President,,REP,Donald J. Trump,,,,2621
Orange,139,President,,DEM,Joseph R. Biden,202,1284,1954,3440
Orange,139,President,,LPF,Jo Jorgensen,,,,53
Orange,139,President,,REF,"Roque ""Rocky"" De La Fuente",,,,5
Orange,139,President,,PSL,Gloria La Riva,,,,3
Orange,139,President,,GRE,Howie Hawkins,,,,5
Orange,139,President,,CPF,Don Blankenship,,,,2
Orange,139,President,,,WRITE-IN,,,,10
Orange,139,President,,,OVER VOTES,,,,15
Orange,139,President,,,UNDER VOTES,,,,14
Orange,140,President,,REP,Donald J. Trump,328,1522,718,2568
Orange,140,President,,DEM,Joseph R. Biden,210,1434,1980,3624
Orange,140,President,,LPF,Jo Jorgensen,,,,58
Orange,140,President,,REF,"Roque ""Rocky"" De La Fuente",,,,4
Orange,140,President,,PSL,Gloria La Riva,,,,1
Orange,140,President,,GRE,Howie Hawkins,,,,7
Orange,140,President,,CPF,Don Blankenship,,,,4
Orange,140,President,,,WRITE-IN,,,,8
Orange,140,President,,,OVER VOTES,,,,6
Orange,140,President,,,UNDER VOTES,,,,10
Orange,141,President,,REP,Donald J. Trump,403,1194,556,2153
Orange,141,President,,DEM,Joseph R. Biden,255,1331,1674,3260
Orange,141,President,,LPF,Jo Jorgensen,,,,44
Orange,141,President,,REF,"Roque ""Rocky"" De La Fuente",,,,3
Orange,141,President,,PSL,Gloria La Riva,,,,2
Orange,141,President,,GRE,Howie Hawkins,,,,6
Orange,141,President,,CPF,Don Blankenship,,,,4
Orange,141,President,,,WRITE-IN,,,,13
Orange,141,President,,,OVER VOTES,,,,3
Orange,141,President,,,UNDER VOTES,,,,9
Orange,201,President,,REP,Donald J. Trump,99,317,305,721
Orange,201,President,,DEM,Joseph R. Biden,36,215,324,575
Orange,201,President,,LPF,Jo Jorgensen,,,,5
Orange,201,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,201,President,,PSL,Gloria La Riva,,,,0
Orange,201,President,,GRE,Howie Hawkins,,,,3
Orange,201,President,,CPF,Don Blankenship,,,,0
Orange,201,President,,,WRITE-IN,,,,2
Orange,201,President,,,OVER VOTES,,,,0
Orange,201,President,,,UNDER VOTES,,,,7
Orange,202,President,,REP,Donald J. Trump,,,,802
Orange,202,President,,DEM,Joseph R. Biden,86,307,431,824
Orange,202,President,,LPF,Jo Jorgensen,,,,10
Orange,202,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,202,President,,PSL,Gloria La Riva,,,,0
Orange,202,President,,GRE,Howie Hawkins,,,,3
Orange,202,President,,CPF,Don Blankenship,,,,2
Orange,202,President,,,WRITE-IN,,,,8
Orange,202,President,,,OVER VOTES,,,,6
Orange,202,President,,,UNDER VOTES,,,,1
Orange,203,President,,REP,Donald J. Trump,56,117,109,282
Orange,203,President,,DEM,Joseph R. Biden,140,516,472,1128
Orange,203,President,,LPF,Jo Jorgensen,,,,7
Orange,203,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,203,President,,PSL,Gloria La Riva,,,,0
Orange,203,President,,GRE,Howie Hawkins,,,,4
Orange,203,President,,CPF,Don Blankenship,,,,0
Orange,203,President,,,WRITE-IN,,,,4
Orange,203,President,,,OVER VOTES,,,,13
Orange,203,President,,,UNDER VOTES,,,,11
Orange,204,President,,REP,Donald J. Trump,,,,116
Orange,204,President,,DEM,Joseph R. Biden,330,336,376,1042
Orange,204,President,,LPF,Jo Jorgensen,,,,1
Orange,204,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,204,President,,PSL,Gloria La Riva,,,,0
Orange,204,President,,GRE,Howie Hawkins,,,,4
Orange,204,President,,CPF,Don Blankenship,,,,1
Orange,204,President,,,WRITE-IN,,,,2
Orange,204,President,,,OVER VOTES,,,,7
Orange,204,President,,,UNDER VOTES,,,,3
Orange,205,President,,REP,Donald J. Trump,,,,135
Orange,205,President,,DEM,Joseph R. Biden,,,,183
Orange,205,President,,LPF,Jo Jorgensen,,,,4
Orange,205,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,205,President,,PSL,Gloria La Riva,,,,0
Orange,205,President,,GRE,Howie Hawkins,,,,0
Orange,205,President,,CPF,Don Blankenship,,,,0
Orange,205,President,,,WRITE-IN,,,,0
Orange,205,President,,,OVER VOTES,,,,0
Orange,205,President,,,UNDER VOTES,,,,1
Orange,206,President,,REP,Donald J. Trump,128,402,228,758
Orange,206,President,,DEM,Joseph R. Biden,149,596,586,1331
Orange,206,President,,LPF,Jo Jorgensen,,,,22
Orange,206,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,206,President,,PSL,Gloria La Riva,,,,4
Orange,206,President,,GRE,Howie Hawkins,,,,5
Orange,206,President,,CPF,Don Blankenship,,,,0
Orange,206,President,,,WRITE-IN,,,,11
Orange,206,President,,,OVER VOTES,,,,6
Orange,206,President,,,UNDER VOTES,,,,8
Orange,207,President,,REP,Donald J. Trump,267,388,362,1017
Orange,207,President,,DEM,Joseph R. Biden,,,,1565
Orange,207,President,,LPF,Jo Jorgensen,,,,22
Orange,207,President,,REF,"Roque ""Rocky"" De La Fuente",,,,3
Orange,207,President,,PSL,Gloria La Riva,,,,7
Orange,207,President,,GRE,Howie Hawkins,,,,13
Orange,207,President,,CPF,Don Blankenship,,,,2
Orange,207,President,,,WRITE-IN,,,,8
Orange,207,President,,,OVER VOTES,,,,9
Orange,207,President,,,UNDER VOTES,,,,11
Orange,208,President,,REP,Donald J. Trump,,,,1382
Orange,208,President,,DEM,Joseph R. Biden,,,,1828
Orange,208,President,,LPF,Jo Jorgensen,,,,26
Orange,208,President,,REF,"Roque ""Rocky"" De La Fuente",,,,4
Orange,208,President,,PSL,Gloria La Riva,,,,2
Orange,208,President,,GRE,Howie Hawkins,,,,7
Orange,208,President,,CPF,Don Blankenship,,,,0
Orange,208,President,,,WRITE-IN,,,,7
Orange,208,President,,,OVER VOTES,,,,7
Orange,208,President,,,UNDER VOTES,,,,7
Orange,209,President,,REP,Donald J. Trump,,,,921
Orange,209,President,,DEM,Joseph R. Biden,159,596,621,1376
Orange,209,President,,LPF,Jo Jorgensen,,,,16
Orange,209,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,209,President,,PSL,Gloria La Riva,,,,1
Orange,209,President,,GRE,Howie Hawkins,,,,2
Orange,209,President,,CPF,Don Blankenship,,,,0
Orange,209,President,,,WRITE-IN,,,,7
Orange,209,President,,,OVER VOTES,,,,6
Orange,209,President,,,UNDER VOTES,,,,3
Orange,210,President,,REP,Donald J. Trump,149,145,150,444
Orange,210,President,,DEM,Joseph R. Biden,169,452,518,1139
Orange,210,President,,LPF,Jo Jorgensen,,,,9
Orange,210,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,210,President,,PSL,Gloria La Riva,,,,0
Orange,210,President,,GRE,Howie Hawkins,,,,1
Orange,210,President,,CPF,Don Blankenship,,,,1
Orange,210,President,,,WRITE-IN,,,,5
