county,precint,office,district,candidate,party,votes
Escambia,Precinct 19,President,,Jo Jorgensen,LPF,32
Escambia,Precinct 21,President,,Jo Jorgensen,LPF,17
Escambia,Precinct 22,President,,Jo Jorgensen,LPF,7
Escambia,Precinct 23,President,,Jo Jorgensen,LPF,3
Escambia,Precinct 24,President,,Jo Jorgensen,LPF,38
Escambia,Precinct 25,President,,Jo Jorgensen,LPF,18
Escambia,Precinct 26,President,,Jo Jorgensen,LPF,58
Escambia,Precinct 28,President,,Jo Jorgensen,LPF,13
Escambia,Precinct 29,President,,Jo Jorgensen,LPF,16
Escambia,Precinct 30,President,,Jo Jorgensen,LPF,36
Escambia,Precinct 31,President,,Jo Jorgensen,LPF,25
Escambia,Precinct 32,President,,Jo Jorgensen,LPF,5
Escambia,Precinct 33,President,,Jo Jorgensen,LPF,10
Escambia,Precinct 34,President,,Jo Jorgensen,LPF,10
Escambia,Precinct 35,President,,Jo Jorgensen,LPF,35
Escambia,Precinct 36,President,,Jo Jorgensen,LPF,22
Escambia,Precinct 38,President,,Jo Jorgensen,LPF,27
Escambia,Precinct 40,President,,Jo Jorgensen,LPF,17
Escambia,Precinct 41,President,,Jo Jorgensen,LPF,32
Escambia,Precinct 42,President,,Jo Jorgensen,LPF,26
Escambia,Precinct 43,President,,Jo Jorgensen,LPF,40
Escambia,Precinct 46,President,,Jo Jorgensen,LPF,27
Escambia,Precinct 47,President,,Jo Jorgensen,LPF,12
Escambia,Precinct 48,President,,Jo Jorgensen,LPF,7
Escambia,Precinct 49,President,,Jo Jorgensen,LPF,20
Escambia,Precinct 50,President,,Jo Jorgensen,LPF,8
Escambia,Precinct 51,President,,Jo Jorgensen,LPF,34
Escambia,Precinct 54,President,,Jo Jorgensen,LPF,26
Escambia,Precinct 55,President,,Jo Jorgensen,LPF,37
Escambia,Precinct 56,President,,Jo Jorgensen,LPF,32
Escambia,Precinct 58,President,,Jo Jorgensen,LPF,13
Escambia,Precinct 60,President,,Jo Jorgensen,LPF,6
Escambia,Precinct 61,President,,Jo Jorgensen,LPF,54
Escambia,Precinct 62,President,,Jo Jorgensen,LPF,30
Escambia,Precinct 63,President,,Jo Jorgensen,LPF,3
Escambia,Precinct 64,President,,Jo Jorgensen,LPF,34
Escambia,Precinct 67,President,,Jo Jorgensen,LPF,79
Escambia,Precinct 68,President,,Jo Jorgensen,LPF,20
Escambia,Precinct 69,President,,Jo Jorgensen,LPF,57
Escambia,Precinct 70,President,,Jo Jorgensen,LPF,29
Escambia,Precinct 71,President,,Jo Jorgensen,LPF,17
Escambia,Precinct 72,President,,Jo Jorgensen,LPF,6
Escambia,Precinct 73,President,,Jo Jorgensen,LPF,67
Escambia,Precinct 74,President,,Jo Jorgensen,LPF,51
Escambia,Precinct 75,President,,Jo Jorgensen,LPF,31
Escambia,Precinct 77,President,,Jo Jorgensen,LPF,18
Escambia,Precinct 80,President,,Jo Jorgensen,LPF,13
Escambia,Precinct 82,President,,Jo Jorgensen,LPF,8
Escambia,Precinct 83,President,,Jo Jorgensen,LPF,18
Escambia,Precinct 86,President,,Jo Jorgensen,LPF,30
Escambia,Precinct 88,President,,Jo Jorgensen,LPF,32
Escambia,Precinct 90,President,,Jo Jorgensen,LPF,11
Escambia,Precinct 91,President,,Jo Jorgensen,LPF,56
Escambia,Precinct 94,President,,Jo Jorgensen,LPF,15
Escambia,Precinct 95,President,,Jo Jorgensen,LPF,25
Escambia,Precinct 97,President,,Jo Jorgensen,LPF,20
Escambia,Precinct 98,President,,Jo Jorgensen,LPF,23
Escambia,Precinct 99,President,,Jo Jorgensen,LPF,10
Escambia,Precinct 101,President,,Jo Jorgensen,LPF,17
Escambia,Precinct 102,President,,Jo Jorgensen,LPF,15
Escambia,Precinct 103,President,,Jo Jorgensen,LPF,16
Escambia,Precinct 104,President,,Jo Jorgensen,LPF,14
Escambia,Precinct 105,President,,Jo Jorgensen,LPF,44
Escambia,Precinct 106,President,,Jo Jorgensen,LPF,21
Escambia,Precinct 107,President,,Jo Jorgensen,LPF,56
Escambia,Precinct 108,President,,Jo Jorgensen,LPF,57
Escambia,Precinct 110,President,,Jo Jorgensen,LPF,11
Escambia,Precinct 111,President,,Jo Jorgensen,LPF,39
Escambia,Precinct 112,President,,Jo Jorgensen,LPF,64
Escambia,Precinct 113,President,,Jo Jorgensen,LPF,10
Escambia,Precinct 114,President,,Jo Jorgensen,LPF,34
Escambia,Precinct 1,President,,"Roque ""Rocky"" De La Fuente",REF,6
Escambia,Precinct 3,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 5,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 6,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 7,President,,"Roque ""Rocky"" De La Fuente",REF,5
Escambia,Precinct 11,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 14,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 15,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 18,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 19,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 21,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 22,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 23,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 24,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 25,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 26,President,,"Roque ""Rocky"" De La Fuente",REF,4
Escambia,Precinct 28,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 29,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 30,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 31,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 32,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 33,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 34,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 35,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 36,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 38,President,,"Roque ""Rocky"" De La Fuente",REF,4
Escambia,Precinct 40,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 41,President,,"Roque ""Rocky"" De La Fuente",REF,3
Escambia,Precinct 42,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 43,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 46,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 47,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 48,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 49,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 50,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 51,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 54,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 55,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 56,President,,"Roque ""Rocky"" De La Fuente",REF,3
Escambia,Precinct 58,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 60,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 61,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 62,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 63,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 64,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 67,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 68,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 69,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 70,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 71,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 72,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 73,President,,"Roque ""Rocky"" De La Fuente",REF,4
Escambia,Precinct 74,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 75,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 77,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 80,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 82,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 83,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 86,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 88,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 90,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 91,President,,"Roque ""Rocky"" De La Fuente",REF,4
Escambia,Precinct 94,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 95,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 97,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 98,President,,"Roque ""Rocky"" De La Fuente",REF,4
Escambia,Precinct 99,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 101,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 102,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 103,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 104,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 105,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 106,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 107,President,,"Roque ""Rocky"" De La Fuente",REF,4
Escambia,Precinct 108,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 110,President,,"Roque ""Rocky"" De La Fuente",REF,2
Escambia,Precinct 111,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 112,President,,"Roque ""Rocky"" De La Fuente",REF,6
Escambia,Precinct 113,President,,"Roque ""Rocky"" De La Fuente",REF,1
Escambia,Precinct 114,President,,"Roque ""Rocky"" De La Fuente",REF,0
Escambia,Precinct 1,President,,Gloria La Riva,PSL,3
Escambia,Precinct 3,President,,Gloria La Riva,PSL,6
Escambia,Precinct 5,President,,Gloria La Riva,PSL,1
Escambia,Precinct 6,President,,Gloria La Riva,PSL,2
Escambia,Precinct 7,President,,Gloria La Riva,PSL,1
Escambia,Precinct 11,President,,Gloria La Riva,PSL,0
Escambia,Precinct 14,President,,Gloria La Riva,PSL,4
Escambia,Precinct 15,President,,Gloria La Riva,PSL,0
Escambia,Precinct 18,President,,Gloria La Riva,PSL,0
Escambia,Precinct 19,President,,Gloria La Riva,PSL,3
Escambia,Precinct 21,President,,Gloria La Riva,PSL,1
Escambia,Precinct 22,President,,Gloria La Riva,PSL,0
Escambia,Precinct 23,President,,Gloria La Riva,PSL,0
Escambia,Precinct 24,President,,Gloria La Riva,PSL,1
Escambia,Precinct 25,President,,Gloria La Riva,PSL,1
Escambia,Precinct 26,President,,Gloria La Riva,PSL,7
Escambia,Precinct 28,President,,Gloria La Riva,PSL,2
Escambia,Precinct 29,President,,Gloria La Riva,PSL,0
Escambia,Precinct 30,President,,Gloria La Riva,PSL,1
Escambia,Precinct 31,President,,Gloria La Riva,PSL,5
Escambia,Precinct 32,President,,Gloria La Riva,PSL,0
Escambia,Precinct 33,President,,Gloria La Riva,PSL,0
Escambia,Precinct 34,President,,Gloria La Riva,PSL,4
Escambia,Precinct 35,President,,Gloria La Riva,PSL,2
Escambia,Precinct 36,President,,Gloria La Riva,PSL,0
Escambia,Precinct 38,President,,Gloria La Riva,PSL,1
Escambia,Precinct 40,President,,Gloria La Riva,PSL,0
Escambia,Precinct 41,President,,Gloria La Riva,PSL,1
Escambia,Precinct 42,President,,Gloria La Riva,PSL,1
Escambia,Precinct 43,President,,Gloria La Riva,PSL,3
Escambia,Precinct 46,President,,Gloria La Riva,PSL,2
Escambia,Precinct 47,President,,Gloria La Riva,PSL,2
Escambia,Precinct 48,President,,Gloria La Riva,PSL,1
Escambia,Precinct 49,President,,Gloria La Riva,PSL,2
Escambia,Precinct 50,President,,Gloria La Riva,PSL,0
Escambia,Precinct 51,President,,Gloria La Riva,PSL,1
Escambia,Precinct 54,President,,Gloria La Riva,PSL,3
Escambia,Precinct 55,President,,Gloria La Riva,PSL,2
Escambia,Precinct 56,President,,Gloria La Riva,PSL,3
Escambia,Precinct 58,President,,Gloria La Riva,PSL,0
Escambia,Precinct 60,President,,Gloria La Riva,PSL,3
Escambia,Precinct 61,President,,Gloria La Riva,PSL,4
Escambia,Precinct 62,President,,Gloria La Riva,PSL,0
Escambia,Precinct 63,President,,Gloria La Riva,PSL,0
Escambia,Precinct 64,President,,Gloria La Riva,PSL,4
Escambia,Precinct 67,President,,Gloria La Riva,PSL,1
Escambia,Precinct 68,President,,Gloria La Riva,PSL,0
Escambia,Precinct 69,President,,Gloria La Riva,PSL,4
Escambia,Precinct 70,President,,Gloria La Riva,PSL,2
Escambia,Precinct 71,President,,Gloria La Riva,PSL,1
Escambia,Precinct 72,President,,Gloria La Riva,PSL,0
Escambia,Precinct 73,President,,Gloria La Riva,PSL,4
Escambia,Precinct 74,President,,Gloria La Riva,PSL,3
Escambia,Precinct 75,President,,Gloria La Riva,PSL,3
Escambia,Precinct 77,President,,Gloria La Riva,PSL,5
Escambia,Precinct 80,President,,Gloria La Riva,PSL,0
Escambia,Precinct 82,President,,Gloria La Riva,PSL,1
Escambia,Precinct 83,President,,Gloria La Riva,PSL,0
Escambia,Precinct 86,President,,Gloria La Riva,PSL,1
Escambia,Precinct 88,President,,Gloria La Riva,PSL,0
Escambia,Precinct 90,President,,Gloria La Riva,PSL,0
Escambia,Precinct 91,President,,Gloria La Riva,PSL,7
Escambia,Precinct 94,President,,Gloria La Riva,PSL,0
Escambia,Precinct 95,President,,Gloria La Riva,PSL,1
Escambia,Precinct 97,President,,Gloria La Riva,PSL,1
Escambia,Precinct 98,President,,Gloria La Riva,PSL,3
Escambia,Precinct 99,President,,Gloria La Riva,PSL,0
Escambia,Precinct 101,President,,Gloria La Riva,PSL,0
Escambia,Precinct 102,President,,Gloria La Riva,PSL,0
Escambia,Precinct 103,President,,Gloria La Riva,PSL,1
Escambia,Precinct 104,President,,Gloria La Riva,PSL,3
Escambia,Precinct 105,President,,Gloria La Riva,PSL,0
Escambia,Precinct 106,President,,Gloria La Riva,PSL,3
Escambia,Precinct 107,President,,Gloria La Riva,PSL,5
Escambia,Precinct 108,President,,Gloria La Riva,PSL,3
Escambia,Precinct 110,President,,Gloria La Riva,PSL,0
Escambia,Precinct 111,President,,Gloria La Riva,PSL,1
Escambia,Precinct 112,President,,Gloria La Riva,PSL,6
Escambia,Precinct 113,President,,Gloria La Riva,PSL,1
Escambia,Precinct 114,President,,Gloria La Riva,PSL,0
Escambia,Precinct 1,President,,Howie Hawkins,GRE,3
Escambia,Precinct 3,President,,Howie Hawkins,GRE,5
Escambia,Precinct 5,President,,Howie Hawkins,GRE,2
Escambia,Precinct 6,President,,Howie Hawkins,GRE,3
Escambia,Precinct 7,President,,Howie Hawkins,GRE,7
Escambia,Precinct 11,President,,Howie Hawkins,GRE,0
Escambia,Precinct 14,President,,Howie Hawkins,GRE,1
Escambia,Precinct 15,President,,Howie Hawkins,GRE,1
Escambia,Precinct 18,President,,Howie Hawkins,GRE,0
Escambia,Precinct 19,President,,Howie Hawkins,GRE,3
Escambia,Precinct 21,President,,Howie Hawkins,GRE,5
Escambia,Precinct 22,President,,Howie Hawkins,GRE,1
Escambia,Precinct 23,President,,Howie Hawkins,GRE,0
Escambia,Precinct 24,President,,Howie Hawkins,GRE,6
Escambia,Precinct 25,President,,Howie Hawkins,GRE,1
Escambia,Precinct 26,President,,Howie Hawkins,GRE,6
Escambia,Precinct 28,President,,Howie Hawkins,GRE,1
Escambia,Precinct 29,President,,Howie Hawkins,GRE,2
Escambia,Precinct 30,President,,Howie Hawkins,GRE,1
Escambia,Precinct 31,President,,Howie Hawkins,GRE,4
Escambia,Precinct 32,President,,Howie Hawkins,GRE,1
Escambia,Precinct 33,President,,Howie Hawkins,GRE,1
Escambia,Precinct 34,President,,Howie Hawkins,GRE,5
Escambia,Precinct 35,President,,Howie Hawkins,GRE,1
Escambia,Precinct 36,President,,Howie Hawkins,GRE,9
Escambia,Precinct 38,President,,Howie Hawkins,GRE,7
Escambia,Precinct 40,President,,Howie Hawkins,GRE,1
Escambia,Precinct 41,President,,Howie Hawkins,GRE,4
Escambia,Precinct 42,President,,Howie Hawkins,GRE,7
Escambia,Precinct 43,President,,Howie Hawkins,GRE,5
Escambia,Precinct 46,President,,Howie Hawkins,GRE,2
Escambia,Precinct 47,President,,Howie Hawkins,GRE,3
Escambia,Precinct 48,President,,Howie Hawkins,GRE,1
Escambia,Precinct 49,President,,Howie Hawkins,GRE,2
Escambia,Precinct 50,President,,Howie Hawkins,GRE,1
Escambia,Precinct 51,President,,Howie Hawkins,GRE,4
