county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Madison,6,Governor,"",LPF,Hector Roos,1,,,
Madison,7,Governor,"",LPF,Hector Roos,0,0,0,0
Madison,1,Governor,"",NPA,Carmen Jackie Gimenez,2,,,
Madison,8,Governor,"",NPA,Carmen Jackie Gimenez,1,,,
Madison,9,Governor,"",NPA,Carmen Jackie Gimenez,0,0,0,0
Madison,10,Governor,"",NPA,Carmen Jackie Gimenez,4,,,
Madison,11,Governor,"",NPA,Carmen Jackie Gimenez,3,,,
Madison,2,Governor,"",NPA,Carmen Jackie Gimenez,0,0,0,0
Madison,3,Governor,"",NPA,Carmen Jackie Gimenez,1,,,
Madison,4,Governor,"",NPA,Carmen Jackie Gimenez,0,0,0,0
Madison,5,Governor,"",NPA,Carmen Jackie Gimenez,5,,,
Madison,6,Governor,"",NPA,Carmen Jackie Gimenez,0,0,0,0
Madison,7,Governor,"",NPA,Carmen Jackie Gimenez,0,0,0,0
Madison,1,Attorney General,"",REP,Ashley Moody,809,428,272,109
Madison,8,Attorney General,"",REP,Ashley Moody,585,298,239,48
Madison,9,Attorney General,"",REP,Ashley Moody,116,,,
Madison,10,Attorney General,"",REP,Ashley Moody,417,193,159,65
Madison,11,Attorney General,"",REP,Ashley Moody,248,,,
Madison,2,Attorney General,"",REP,Ashley Moody,51,,,
Madison,3,Attorney General,"",REP,Ashley Moody,1223,587,507,129
Madison,4,Attorney General,"",REP,Ashley Moody,207,,,
Madison,5,Attorney General,"",REP,Ashley Moody,316,106,166,44
Madison,6,Attorney General,"",REP,Ashley Moody,184,,,
Madison,7,Attorney General,"",REP,Ashley Moody,627,318,230,79
Madison,1,Attorney General,"",DEM,Aramis Ayala,423,169,177,77
Madison,8,Attorney General,"",DEM,Aramis Ayala,128,,,
Madison,9,Attorney General,"",DEM,Aramis Ayala,51,,,
Madison,10,Attorney General,"",DEM,Aramis Ayala,374,141,139,94
Madison,11,Attorney General,"",DEM,Aramis Ayala,298,116,133,49
Madison,2,Attorney General,"",DEM,Aramis Ayala,129,43,43,43
Madison,3,Attorney General,"",DEM,Aramis Ayala,204,79,76,49
Madison,4,Attorney General,"",DEM,Aramis Ayala,48,,,
Madison,5,Attorney General,"",DEM,Aramis Ayala,310,71,183,56
Madison,6,Attorney General,"",DEM,Aramis Ayala,35,,,
Madison,7,Attorney General,"",DEM,Aramis Ayala,169,78,38,53
Madison,1,Chief Financial Officer,"",REP,Jimmy Patronis,773,413,256,104
Madison,8,Chief Financial Officer,"",REP,Jimmy Patronis,565,292,231,42
Madison,9,Chief Financial Officer,"",REP,Jimmy Patronis,111,,,
Madison,10,Chief Financial Officer,"",REP,Jimmy Patronis,401,187,151,63
Madison,11,Chief Financial Officer,"",REP,Jimmy Patronis,227,,,
Madison,2,Chief Financial Officer,"",REP,Jimmy Patronis,47,,,
Madison,3,Chief Financial Officer,"",REP,Jimmy Patronis,1194,571,497,126
Madison,4,Chief Financial Officer,"",REP,Jimmy Patronis,200,,,
Madison,5,Chief Financial Officer,"",REP,Jimmy Patronis,297,96,157,44
Madison,6,Chief Financial Officer,"",REP,Jimmy Patronis,179,,,
Madison,7,Chief Financial Officer,"",REP,Jimmy Patronis,614,317,222,75
Madison,1,Chief Financial Officer,"",DEM,Adam Hattersley,444,174,188,82
Madison,8,Chief Financial Officer,"",DEM,Adam Hattersley,147,,,
Madison,9,Chief Financial Officer,"",DEM,Adam Hattersley,56,,,
Madison,10,Chief Financial Officer,"",DEM,Adam Hattersley,385,143,147,95
Madison,11,Chief Financial Officer,"",DEM,Adam Hattersley,315,120,143,52
Madison,2,Chief Financial Officer,"",DEM,Adam Hattersley,130,47,42,41
Madison,3,Chief Financial Officer,"",DEM,Adam Hattersley,225,89,85,51
Madison,4,Chief Financial Officer,"",DEM,Adam Hattersley,50,,,
Madison,5,Chief Financial Officer,"",DEM,Adam Hattersley,318,78,186,54
Madison,6,Chief Financial Officer,"",DEM,Adam Hattersley,40,,,
Madison,7,Chief Financial Officer,"",DEM,Adam Hattersley,178,78,44,56
Madison,1,Commissioner of Agriculture,"",REP,Wilton Simpson,775,408,262,105
Madison,8,Commissioner of Agriculture,"",REP,Wilton Simpson,568,294,231,43
Madison,9,Commissioner of Agriculture,"",REP,Wilton Simpson,113,,,
Madison,10,Commissioner of Agriculture,"",REP,Wilton Simpson,396,182,151,63
Madison,11,Commissioner of Agriculture,"",REP,Wilton Simpson,230,,,
Madison,2,Commissioner of Agriculture,"",REP,Wilton Simpson,52,,,
Madison,3,Commissioner of Agriculture,"",REP,Wilton Simpson,1209,576,504,129
Madison,4,Commissioner of Agriculture,"",REP,Wilton Simpson,203,,,
Madison,5,Commissioner of Agriculture,"",REP,Wilton Simpson,298,98,156,44
