county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Charlotte,77 - L.A. Ainger Middle School,U.S. Senate,"",REP,Marco Rubio,3070,,,
Charlotte,78 - American Legion Post #113,U.S. Senate,"",REP,Marco Rubio,191,70,33,88
Charlotte,8 - Mac V. Horton West County,U.S. Senate,"",REP,Marco Rubio,496,238,153,105
Charlotte,80 - Tringali Park,U.S. Senate,"",REP,Marco Rubio,991,,,
Charlotte,9 - Port Charlotte Beach Park,U.S. Senate,"",REP,Marco Rubio,447,216,99,132
Charlotte,1 - Cleveland United Methodist,U.S. Senate,"",DEM,Val Demings,100,,,
Charlotte,10 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,158,,,
Charlotte,11 - Myakka River Elementary S,U.S. Senate,"",DEM,Val Demings,329,84,47,198
Charlotte,12 - Deep Creek Elementary Sch,U.S. Senate,"",DEM,Val Demings,542,122,117,303
Charlotte,13 - East Elementary School,U.S. Senate,"",DEM,Val Demings,271,83,39,149
Charlotte,14 - Home Owners of Alligator,U.S. Senate,"",DEM,Val Demings,380,94,90,196
Charlotte,14.1 - Homeowners of Alligator,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Charlotte,15 - Meadow Park Elementary Sc,U.S. Senate,"",DEM,Val Demings,416,128,69,219
Charlotte,16 - Peace River Elementary Sc,U.S. Senate,"",DEM,Val Demings,186,61,30,95
Charlotte,17 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,338,108,41,189
Charlotte,18 - Mac V. Horton West Count,U.S. Senate,"",DEM,Val Demings,337,112,39,186
Charlotte,19 - Charlotte Harbor Event an,U.S. Senate,"",DEM,Val Demings,24,,,
Charlotte,19.1 - Charlotte Harbor Event,U.S. Senate,"",DEM,Val Demings,190,,,
Charlotte,19.2 - Charlotte Harbor Event,U.S. Senate,"",DEM,Val Demings,9,,,
Charlotte,2 - East Elementary School,U.S. Senate,"",DEM,Val Demings,119,,,
Charlotte,20 - Port Charlotte Beach Park,U.S. Senate,"",DEM,Val Demings,319,119,54,146
Charlotte,21 - Meadow Park Elementary Sc,U.S. Senate,"",DEM,Val Demings,244,63,54,127
Charlotte,22 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,745,254,114,377
Charlotte,23 - Mac V. Horton West County,U.S. Senate,"",DEM,Val Demings,193,,,
Charlotte,24 - Peace River Elementary Sc,U.S. Senate,"",DEM,Val Demings,326,89,73,164
Charlotte,25 - Mid-County Regional Libra,U.S. Senate,"",DEM,Val Demings,333,108,49,176
Charlotte,26 - Murdock Middle School,U.S. Senate,"",DEM,Val Demings,155,53,32,70
Charlotte,27 - Mac V. Horton West County,U.S. Senate,"",DEM,Val Demings,637,,,
Charlotte,28 - Charlotte Harbor Event an,U.S. Senate,"",DEM,Val Demings,428,150,37,241
Charlotte,29 - Punta Gorda Isles Civic A,U.S. Senate,"",DEM,Val Demings,261,,,
Charlotte,29.1 - Punta Gorda Isles Civic,U.S. Senate,"",DEM,Val Demings,348,,,
Charlotte,29.2 - Punta Gorda Isles Civic,U.S. Senate,"",DEM,Val Demings,144,,,
Charlotte,3 - Charlotte Harbor Event and,U.S. Senate,"",DEM,Val Demings,6,,,
Charlotte,30 - Cleveland United Methodis,U.S. Senate,"",DEM,Val Demings,164,,,
Charlotte,3.1 - Charlotte Harbor Event a,U.S. Senate,"",DEM,Val Demings,147,,,
Charlotte,31 - Cleveland Baptist Church,U.S. Senate,"",DEM,Val Demings,338,102,39,197
Charlotte,32 - Babcock Ranch,U.S. Senate,"",DEM,Val Demings,639,38,306,295
Charlotte,33 - Myakka River Elementary S,U.S. Senate,"",DEM,Val Demings,358,102,68,188
Charlotte,34 - Isles Yacht Club,U.S. Senate,"",DEM,Val Demings,439,118,64,257
Charlotte,35 - Punta Gorda Isles Civic A,U.S. Senate,"",DEM,Val Demings,103,,,
Charlotte,35.1 - Punta Gorda Isles Civic,U.S. Senate,"",DEM,Val Demings,90,,,
Charlotte,36 - Peace River Elementary Sc,U.S. Senate,"",DEM,Val Demings,475,155,91,229
Charlotte,38 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,470,128,99,243
Charlotte,39 - Mid-County Regional Libra,U.S. Senate,"",DEM,Val Demings,447,139,53,255
Charlotte,4 - Charlotte Harbor Event and,U.S. Senate,"",DEM,Val Demings,98,,,
Charlotte,41 - Isles Yacht Club,U.S. Senate,"",DEM,Val Demings,405,112,58,235
Charlotte,42 - South Punta Gorda Heights,U.S. Senate,"",DEM,Val Demings,213,,,
Charlotte,42.1 - South Punta Gorda Heigh,U.S. Senate,"",DEM,Val Demings,402,90,45,267
Charlotte,43 - Meadow Park Elementary Sc,U.S. Senate,"",DEM,Val Demings,480,136,91,253
Charlotte,44 - Meadow Park Elementary Sc,U.S. Senate,"",DEM,Val Demings,753,223,85,445
Charlotte,45 - Tringali Park,U.S. Senate,"",DEM,Val Demings,521,143,65,313
Charlotte,46 - Holy Trinity Greek Orthod,U.S. Senate,"",DEM,Val Demings,791,177,109,505
Charlotte,47 - L.A. Ainger Middle School,U.S. Senate,"",DEM,Val Demings,1449,447,148,854
Charlotte,48 - Deep Creek Elementary Sch,U.S. Senate,"",DEM,Val Demings,578,112,106,360
Charlotte,49 - Deep Creek Elementary Sch,U.S. Senate,"",DEM,Val Demings,318,,,
Charlotte,5 - Peace River Elementary Sch,U.S. Senate,"",DEM,Val Demings,385,77,38,270
Charlotte,52 - Murdock Middle School,U.S. Senate,"",DEM,Val Demings,629,195,122,312
Charlotte,53 - Tringali Park,U.S. Senate,"",DEM,Val Demings,342,117,62,163
Charlotte,54 - Mid-County Regional Libra,U.S. Senate,"",DEM,Val Demings,94,,,
Charlotte,54.1 - Mid-County Regional Lib,U.S. Senate,"",DEM,Val Demings,206,,,
Charlotte,55 - American Legion Post #113,U.S. Senate,"",DEM,Val Demings,599,195,70,334
Charlotte,56 - Harold Ave. Regional Park,U.S. Senate,"",DEM,Val Demings,503,,,
Charlotte,57 - Port Charlotte Beach Park,U.S. Senate,"",DEM,Val Demings,122,,,
Charlotte,58 - Charlotte County Fairgrou,U.S. Senate,"",DEM,Val Demings,582,173,76,333
Charlotte,6 - Charlotte County Fairgroun,U.S. Senate,"",DEM,Val Demings,236,61,31,144
Charlotte,60 - South County Regional Par,U.S. Senate,"",DEM,Val Demings,35,,,
Charlotte,60.1 - South County Regional P,U.S. Senate,"",DEM,Val Demings,94,,,
Charlotte,6.1 - Charlotte County Fairgro,U.S. Senate,"",DEM,Val Demings,395,,,
Charlotte,61 - Myakka River Elementary S,U.S. Senate,"",DEM,Val Demings,310,98,61,151
Charlotte,63 - Holy Trinity Greek Orthod,U.S. Senate,"",DEM,Val Demings,1222,328,234,660
Charlotte,64 - Congregational United Chu,U.S. Senate,"",DEM,Val Demings,93,,,
Charlotte,64.1 - Congregational United C,U.S. Senate,"",DEM,Val Demings,694,189,70,435
Charlotte,66 - South County Regional Par,U.S. Senate,"",DEM,Val Demings,260,78,40,142
Charlotte,66.1 - South County Regional P,U.S. Senate,"",DEM,Val Demings,29,,,
Charlotte,67 - South Punta Gorda Heights,U.S. Senate,"",DEM,Val Demings,53,,,
Charlotte,68 - Burnt Store Presbyterian,U.S. Senate,"",DEM,Val Demings,309,78,55,176
Charlotte,69 - Burnt Store Presbyterian,U.S. Senate,"",DEM,Val Demings,133,,,
Charlotte,7 - American Legion Post #113,U.S. Senate,"",DEM,Val Demings,633,179,93,361
Charlotte,75 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,640,182,69,389
Charlotte,76 - Mid-County Regional Libra,U.S. Senate,"",DEM,Val Demings,101,,,
Charlotte,77 - L.A. Ainger Middle School,U.S. Senate,"",DEM,Val Demings,912,253,92,567
Charlotte,78 - American Legion Post #113,U.S. Senate,"",DEM,Val Demings,65,,,
Charlotte,8 - Mac V. Horton West County,U.S. Senate,"",DEM,Val Demings,251,,,
Charlotte,80 - Tringali Park,U.S. Senate,"",DEM,Val Demings,411,137,72,202
Charlotte,9 - Port Charlotte Beach Park,U.S. Senate,"",DEM,Val Demings,203,,,
Charlotte,1 - Cleveland United Methodist,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,10 - Port Charlotte Middle Sch,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,11 - Myakka River Elementary S,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,12 - Deep Creek Elementary Sch,U.S. Senate,"",LPF,Dennis Misigoy,7,,,
Charlotte,13 - East Elementary School,U.S. Senate,"",LPF,Dennis Misigoy,6,,,
Charlotte,14 - Home Owners of Alligator,U.S. Senate,"",LPF,Dennis Misigoy,6,,,
Charlotte,14.1 - Homeowners of Alligator,U.S. Senate,"",LPF,Dennis Misigoy,0,0,0,0
Charlotte,15 - Meadow Park Elementary Sc,U.S. Senate,"",LPF,Dennis Misigoy,5,,,
Charlotte,16 - Peace River Elementary Sc,U.S. Senate,"",LPF,Dennis Misigoy,4,,,
Charlotte,17 - Port Charlotte Middle Sch,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,18 - Mac V. Horton West Count,U.S. Senate,"",LPF,Dennis Misigoy,4,,,
Charlotte,19 - Charlotte Harbor Event an,U.S. Senate,"",LPF,Dennis Misigoy,0,0,0,0
Charlotte,19.1 - Charlotte Harbor Event,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Charlotte,19.2 - Charlotte Harbor Event,U.S. Senate,"",LPF,Dennis Misigoy,0,0,0,0
Charlotte,2 - East Elementary School,U.S. Senate,"",LPF,Dennis Misigoy,0,0,0,0
Charlotte,20 - Port Charlotte Beach Park,U.S. Senate,"",LPF,Dennis Misigoy,4,,,
Charlotte,21 - Meadow Park Elementary Sc,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,22 - Port Charlotte Middle Sch,U.S. Senate,"",LPF,Dennis Misigoy,11,,,
Charlotte,23 - Mac V. Horton West County,U.S. Senate,"",LPF,Dennis Misigoy,4,,,
Charlotte,24 - Peace River Elementary Sc,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,25 - Mid-County Regional Libra,U.S. Senate,"",LPF,Dennis Misigoy,1,,,
Charlotte,26 - Murdock Middle School,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Charlotte,27 - Mac V. Horton West County,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,28 - Charlotte Harbor Event an,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Charlotte,29 - Punta Gorda Isles Civic A,U.S. Senate,"",LPF,Dennis Misigoy,1,,,
Charlotte,29.1 - Punta Gorda Isles Civic,U.S. Senate,"",LPF,Dennis Misigoy,1,,,
Charlotte,29.2 - Punta Gorda Isles Civic,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Charlotte,3 - Charlotte Harbor Event and,U.S. Senate,"",LPF,Dennis Misigoy,0,0,0,0
Charlotte,30 - Cleveland United Methodis,U.S. Senate,"",LPF,Dennis Misigoy,4,,,
Charlotte,3.1 - Charlotte Harbor Event a,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Charlotte,31 - Cleveland Baptist Church,U.S. Senate,"",LPF,Dennis Misigoy,6,,,
