county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,votes
Hamilton,8 - Cross Roads,President,,De La Fuente and Richardson,REF,,,,,2
Hamilton,8 - Cross Roads,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,8 - Cross Roads,President,,Hawkins and Walker,GRE,,,,,1
Hamilton,8 - Cross Roads,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,8 - Cross Roads,President,,WRITE-IN,NON,,,,,3
Hamilton,1 - Jennings City Hall,U.S. House,5,Gary Adler,REP,,,,,228
Hamilton,1 - Jennings City Hall,U.S. House,5,Al Lawson,DEM,,,,,164
Hamilton,2 - Jasper Courthouse,U.S. House,5,Gary Adler,REP,68,129,80,0,277
Hamilton,2 - Jasper Courthouse,U.S. House,5,Al Lawson,DEM,,,,,614
Hamilton,3 - White Springs Library,U.S. House,5,Gary Adler,REP,161,122,84,0,367
Hamilton,3 - White Springs Library,U.S. House,5,Al Lawson,DEM,,,,,312
Hamilton,4 - Jasper Civic Center,U.S. House,5,Gary Adler,REP,186,374,248,0,808
Hamilton,4 - Jasper Civic Center,U.S. House,5,Al Lawson,DEM,,,,,356
Hamilton,5 - Bright Pond Fellowship,U.S. House,5,Gary Adler,REP,39,81,44,0,164
Hamilton,5 - Bright Pond Fellowship,U.S. House,5,Al Lawson,DEM,,,,,48
Hamilton,6 - Genoa Vol. Fire Dept.,U.S. House,5,Gary Adler,REP,,,,,411
Hamilton,6 - Genoa Vol. Fire Dept.,U.S. House,5,Al Lawson,DEM,62,68,58,0,188
Hamilton,7 - Bellville Vol. Fire Dept.,U.S. House,5,Gary Adler,REP,150,136,122,0,408
Hamilton,7 - Bellville Vol. Fire Dept.,U.S. House,5,Al Lawson,DEM,87,34,101,0,222
Hamilton,8 - Cross Roads,U.S. House,5,Gary Adler,REP,286,393,237,0,916
Hamilton,8 - Cross Roads,U.S. House,5,Al Lawson,DEM,39,81,109,0,229
Hamilton,1 - Jennings City Hall,State Senate,3,Marva Harris Preston,REP,,,,,248
Hamilton,1 - Jennings City Hall,State Senate,3,Loranne Ausley,DEM,,,,,134
Hamilton,2 - Jasper Courthouse,State Senate,3,Marva Harris Preston,REP,87,147,94,0,328
Hamilton,2 - Jasper Courthouse,State Senate,3,Loranne Ausley,DEM,,,,,558
Hamilton,3 - White Springs Library,State Senate,3,Marva Harris Preston,REP,173,125,92,0,390
Hamilton,3 - White Springs Library,State Senate,3,Loranne Ausley,DEM,,,,,292
Hamilton,4 - Jasper Civic Center,State Senate,3,Marva Harris Preston,REP,199,399,283,0,881
Hamilton,4 - Jasper Civic Center,State Senate,3,Loranne Ausley,DEM,,,,,287
Hamilton,5 - Bright Pond Fellowship,State Senate,3,Marva Harris Preston,REP,42,83,46,0,171
Hamilton,5 - Bright Pond Fellowship,State Senate,3,Loranne Ausley,DEM,,,,,38
Hamilton,6 - Genoa Vol. Fire Dept.,State Senate,3,Marva Harris Preston,REP,,,,,439
Hamilton,6 - Genoa Vol. Fire Dept.,State Senate,3,Loranne Ausley,DEM,53,55,50,0,158
Hamilton,7 - Bellville Vol. Fire Dept.,State Senate,3,Marva Harris Preston,REP,155,140,130,0,425
Hamilton,7 - Bellville Vol. Fire Dept.,State Senate,3,Loranne Ausley,DEM,79,31,92,0,202
Hamilton,8 - Cross Roads,State Senate,3,Marva Harris Preston,REP,288,403,253,0,944
Hamilton,8 - Cross Roads,State Senate,3,Loranne Ausley,DEM,37,70,86,0,193
Hamilton,1 - Jennings City Hall,State House,10,Chuck Brannan,REP,,,,,247
Hamilton,1 - Jennings City Hall,State House,10,Rock Aboujaoude Jr,DEM,,,,,129
Hamilton,2 - Jasper Courthouse,State House,10,Chuck Brannan,REP,88,155,91,0,334
Hamilton,2 - Jasper Courthouse,State House,10,Rock Aboujaoude Jr,DEM,,,,,542
Hamilton,3 - White Springs Library,State House,10,Chuck Brannan,REP,169,130,95,0,394
Hamilton,3 - White Springs Library,State House,10,Rock Aboujaoude Jr,DEM,,,,,274
Hamilton,4 - Jasper Civic Center,State House,10,Chuck Brannan,REP,197,399,276,0,872
Hamilton,4 - Jasper Civic Center,State House,10,Rock Aboujaoude Jr,DEM,,,,,274
Hamilton,5 - Bright Pond Fellowship,State House,10,Chuck Brannan,REP,41,83,45,0,169
Hamilton,5 - Bright Pond Fellowship,State House,10,Rock Aboujaoude Jr,DEM,,,,,38
Hamilton,6 - Genoa Vol. Fire Dept.,State House,10,Chuck Brannan,REP,,,,,445
Hamilton,6 - Genoa Vol. Fire Dept.,State House,10,Rock Aboujaoude Jr,DEM,45,51,49,0,145
Hamilton,7 - Bellville Vol. Fire Dept.,State House,10,Chuck Brannan,REP,155,138,127,0,420
Hamilton,7 - Bellville Vol. Fire Dept.,State House,10,Rock Aboujaoude Jr,DEM,78,30,88,0,196
Hamilton,8 - Cross Roads,State House,10,Chuck Brannan,REP,294,403,264,0,961
Hamilton,8 - Cross Roads,State House,10,Rock Aboujaoude Jr,DEM,,,,,174
