county,precinct,office,district,party,candidate,absentee,early_voting,election_day,provisional,other,votes
Madison,3,President,,LPF,Jo Jorgensen,1,2,1,0,0,4
Madison,3,President,,REF,"Roque ""Rocky""De La Fuente",0,1,0,0,0,1
Madison,3,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,3,President,,GRE,Howie Hawkins,0,2,1,0,0,3
Madison,3,President,,CPF,Don Blankenship,0,2,0,0,0,2
Madison,3,U.S. House,5,REP,Gary Adler,164,962,246,3,0,1375
Madison,3,U.S. House,5,DEM,Al Lawson,101,191,29,2,0,323
Madison,3,State Senate,3,REP,Marva Harris Preston,176,971,239,4,0,1390
Madison,3,State Senate,3,DEM,Loranne Ausley,93,177,35,1,0,306
Madison,4,Registered Voters,,,,,,,,,428
Madison,4,Ballots Cast,,,,58,146,138,0,0,342
Madison,4,President,,REP,Donald J. Trump,34,116,112,0,0,262
Madison,4,President,,DEM,Joseph R. Biden,22,27,25,0,0,74
Madison,4,President,,LPF,Jo Jorgensen,0,1,1,0,0,2
Madison,4,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,4,President,,PSL,Gloria La Riva,0,1,0,0,0,1
Madison,4,President,,GRE,Howie Hawkins,0,1,0,0,0,1
Madison,4,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,4,U.S. House,5,REP,Gary Adler,32,112,105,0,0,249
Madison,4,U.S. House,5,DEM,Al Lawson,23,32,28,0,0,83
Madison,4,State Senate,3,REP,Marva Harris Preston,31,117,110,0,0,258
Madison,4,State Senate,3,DEM,Loranne Ausley,23,28,22,0,0,73
Madison,5,Registered Voters,,,,,,,,,1168
Madison,5,Ballots Cast,,,,212,537,204,0,0,953
Madison,5,President,,REP,Donald J. Trump,78,206,90,0,0,374
Madison,5,President,,DEM,Joseph R. Biden,132,319,112,0,0,563
Madison,5,President,,LPF,Jo Jorgensen,1,3,2,0,0,6
Madison,5,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,5,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,5,President,,GRE,Howie Hawkins,0,0,0,0,0,0
Madison,5,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,5,U.S. House,5,REP,Gary Adler,65,192,87,0,0,344
Madison,5,U.S. House,5,DEM,Al Lawson,144,337,114,0,0,595
Madison,5,State Senate,3,REP,Marva Harris Preston,75,222,87,0,0,384
Madison,5,State Senate,3,DEM,Loranne Ausley,129,300,114,0,0,543
Madison,6,Registered Voters,,,,,,,,,297
Madison,6,Ballots Cast,,,,50,149,63,1,0,263
Madison,6,President,,REP,Donald J. Trump,27,126,59,0,0,212
Madison,6,President,,DEM,Joseph R. Biden,22,22,4,1,0,49
Madison,6,President,,LPF,Jo Jorgensen,1,0,0,0,0,1
Madison,6,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,6,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,6,President,,GRE,Howie Hawkins,0,0,0,0,0,0
Madison,6,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,6,U.S. House,5,REP,Gary Adler,25,118,56,0,0,199
Madison,6,U.S. House,5,DEM,Al Lawson,25,27,7,1,0,60
Madison,6,State Senate,3,REP,Marva Harris Preston,26,124,56,0,0,206
Madison,6,State Senate,3,DEM,Loranne Ausley,21,19,5,1,0,46
Madison,7,Registered Voters,,,,,,,,,1222
Madison,7,Ballots Cast,,,,219,606,130,0,0,955
Madison,7,President,,REP,Donald J. Trump,113,473,99,0,0,685
Madison,7,President,,DEM,Joseph R. Biden,105,130,30,0,0,265
Madison,7,President,,LPF,Jo Jorgensen,1,1,1,0,0,3
Madison,7,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,7,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,7,President,,GRE,Howie Hawkins,0,0,0,0,0,0
Madison,7,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,7,U.S. House,5,REP,Gary Adler,103,448,97,0,0,648
Madison,7,U.S. House,5,DEM,Al Lawson,115,145,32,0,0,292
Madison,7,State Senate,3,REP,Marva Harris Preston,109,464,100,0,0,673
Madison,7,State Senate,3,DEM,Loranne Ausley,107,126,27,0,0,260
Madison,8,Registered Voters,,,,,,,,,1085
Madison,8,Ballots Cast,,,,130,613,138,0,0,881
Madison,8,President,,REP,Donald J. Trump,66,494,103,0,0,663
Madison,8,President,,DEM,Joseph R. Biden,63,110,34,0,0,207
Madison,8,President,,LPF,Jo Jorgensen,1,3,1,0,0,5
Madison,8,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,8,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,8,President,,GRE,Howie Hawkins,0,2,0,0,0,2
Madison,8,President,,CPF,Don Blankenship,0,1,0,0,0,1
Madison,8,U.S. House,5,REP,Gary Adler,59,472,99,0,0,630
Madison,8,U.S. House,5,DEM,Al Lawson,66,126,35,0,0,227
Madison,8,State Senate,3,REP,Marva Harris Preston,62,494,102,0,0,658
Madison,8,State Senate,3,DEM,Loranne Ausley,63,106,33,0,0,202
Madison,9,Registered Voters,,,,,,,,,280
Madison,9,Ballots Cast,,,,65,83,83,0,0,231
Madison,9,President,,REP,Donald J. Trump,38,35,58,0,0,131
Madison,9,President,,DEM,Joseph R. Biden,27,47,25,0,0,99
Madison,9,President,,LPF,Jo Jorgensen,0,1,0,0,0,1
Madison,9,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,9,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,9,President,,GRE,Howie Hawkins,0,0,0,0,0,0
Madison,9,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,9,U.S. House,5,REP,Gary Adler,33,35,56,0,0,124
Madison,9,U.S. House,5,DEM,Al Lawson,31,47,25,0,0,103
Madison,9,State Senate,3,REP,Marva Harris Preston,37,34,57,0,0,128
Madison,9,State Senate,3,DEM,Loranne Ausley,26,49,22,0,0,97
Madison,10,Registered Voters,,,,,,,,,1535
Madison,10,Ballots Cast,,,,334,724,164,0,0,1222
Madison,10,President,,REP,Donald J. Trump,130,326,71,0,0,527
Madison,10,President,,DEM,Joseph R. Biden,201,388,90,0,0,679
Madison,10,President,,LPF,Jo Jorgensen,0,0,1,0,0,1
Madison,10,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,10,President,,PSL,Gloria La Riva,0,1,0,0,0,1
Madison,10,President,,GRE,Howie Hawkins,1,3,0,0,0,4
Madison,10,President,,CPF,Don Blankenship,0,1,0,0,0,1
Madison,10,U.S. House,5,REP,Gary Adler,118,316,65,0,0,499
Madison,10,U.S. House,5,DEM,Al Lawson,212,394,96,0,0,702
Madison,10,State Senate,3,REP,Marva Harris Preston,122,332,75,0,0,529
Madison,10,State Senate,3,DEM,Loranne Ausley,206,372,85,0,0,663
Madison,11,Registered Voters,,,,,,,,,1014
Madison,11,Ballots Cast,,,,192,476,144,0,0,812
Madison,11,President,,REP,Donald J. Trump,43,189,54,0,0,286
Madison,11,President,,DEM,Joseph R. Biden,144,281,88,0,0,513
Madison,11,President,,LPF,Jo Jorgensen,1,0,1,0,0,2
Madison,11,President,,REF,"Roque ""Rocky""De La Fuente",0,1,0,0,0,1
Madison,11,President,,PSL,Gloria La Riva,1,0,1,0,0,2
Madison,11,President,,GRE,Howie Hawkins,0,0,0,0,0,0
Madison,11,President,,CPF,Don Blankenship,1,0,0,0,0,1
Madison,11,U.S. House,5,REP,Gary Adler,38,178,46,0,0,262
Madison,11,U.S. House,5,DEM,Al Lawson,150,293,92,0,0,535
Madison,11,State Senate,3,REP,Marva Harris Preston,47,194,53,0,0,294
Madison,11,State Senate,3,DEM,Loranne Ausley,137,273,78,0,0,488
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
