candidate,office,district,party,county,precinct,votes,absentee,election_day,early_voting
Jo Jorgensen,President,,LPF,Flagler,8,21,13,2,6
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,8,2,0,2,0
Gloria La Riva,President,,PSL,Flagler,8,1,1,0,0
Howie Hawkins,President,,GRE,Flagler,8,6,3,1,2
Don Blankenship,President,,CPF,Flagler,8,0,0,0,0
Write-In,President,,,Flagler,8,5,2,1,2
Over Votes,President,,,Flagler,8,6,0,6,0
Under Votes,President,,,Flagler,8,11,8,2,1
Michael Waltz,U.S. House,6,REP,Flagler,8,2107,623,1028,456
Clint Curtis,U.S. House,6,DEM,Flagler,8,1239,736,350,153
Write-In,U.S. House,6,,Flagler,8,2,1,0,1
Over Votes,U.S. House,6,,Flagler,8,0,0,0,0
Under Votes,U.S. House,6,,Flagler,8,158,65,60,33
Travis J Hutson,State Senate,7,REP,Flagler,8,2017,595,988,434
Heather Hunter,State Senate,7,DEM,Flagler,8,1291,749,370,172
Write-In,State Senate,7,,Flagler,8,2,0,0,2
Over Votes,State Senate,7,,Flagler,8,0,0,0,0
Under Votes,State Senate,7,,Flagler,8,196,81,80,35
Paul Renner,State House,24,REP,Flagler,8,2032,588,992,452
Adam Morley,State House,24,DEM,Flagler,8,1261,741,367,153
Over Votes,State House,24,,Flagler,8,0,0,0,0
Under Votes,State House,24,,Flagler,8,213,96,79,38
Registered Voters,,,,Flagler,9,3610,,,
Ballots Cast,,,,Flagler,9,2629,1128,1130,371
Ballots Cast Blank,,,,Flagler,9,0,0,0,0
Donald J. Trump,President,,REP,Flagler,9,1569,518,795,256
Joseph R. Biden,President,,DEM,Flagler,9,1025,592,325,108
Jo Jorgensen,President,,LPF,Flagler,9,13,6,4,3
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,9,2,2,0,0
Gloria La Riva,President,,PSL,Flagler,9,2,0,1,1
Howie Hawkins,President,,GRE,Flagler,9,1,0,1,0
Don Blankenship,President,,CPF,Flagler,9,1,1,0,0
Write-In,President,,,Flagler,9,4,1,2,1
Over Votes,President,,,Flagler,9,4,0,2,2
Under Votes,President,,,Flagler,9,8,8,0,0
Michael Waltz,U.S. House,6,REP,Flagler,9,1543,519,779,245
Clint Curtis,U.S. House,6,DEM,Flagler,9,975,557,315,103
Write-In,U.S. House,6,,Flagler,9,0,0,0,0
Over Votes,U.S. House,6,,Flagler,9,0,0,0,0
Under Votes,U.S. House,6,,Flagler,9,111,52,36,23
Travis J Hutson,State Senate,7,REP,Flagler,9,1485,493,755,237
Heather Hunter,State Senate,7,DEM,Flagler,9,1002,572,325,105
Write-In,State Senate,7,,Flagler,9,0,0,0,0
Over Votes,State Senate,7,,Flagler,9,1,0,0,1
Under Votes,State Senate,7,,Flagler,9,141,63,50,28
Paul Renner,State House,24,REP,Flagler,9,1506,500,768,238
Adam Morley,State House,24,DEM,Flagler,9,982,559,321,102
Over Votes,State House,24,,Flagler,9,0,0,0,0
Under Votes,State House,24,,Flagler,9,141,69,41,31
Registered Voters,,,,Flagler,10,3884,,,
Ballots Cast,,,,Flagler,10,3127,1620,1162,345
Ballots Cast Blank,,,,Flagler,10,0,0,0,0
Donald J. Trump,President,,REP,Flagler,10,1799,708,847,244
Joseph R. Biden,President,,DEM,Flagler,10,1277,877,308,92
Jo Jorgensen,President,,LPF,Flagler,10,17,7,5,5
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,10,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,10,2,1,1,0
Howie Hawkins,President,,GRE,Flagler,10,4,3,0,1
Don Blankenship,President,,CPF,Flagler,10,0,0,0,0
Write-In,President,,,Flagler,10,6,4,1,1
Over Votes,President,,,Flagler,10,0,0,0,0
Under Votes,President,,,Flagler,10,22,20,0,2
Michael Waltz,U.S. House,6,REP,Flagler,10,1826,770,828,228
Clint Curtis,U.S. House,6,DEM,Flagler,10,1183,802,292,89
Write-In,U.S. House,6,,Flagler,10,3,1,2,0
Over Votes,U.S. House,6,,Flagler,10,1,0,0,1
Under Votes,U.S. House,6,,Flagler,10,114,47,40,27
Travis J Hutson,State Senate,7,REP,Flagler,10,1735,728,797,210
Heather Hunter,State Senate,7,DEM,Flagler,10,1221,822,309,90
Write-In,State Senate,7,,Flagler,10,3,1,0,2
Over Votes,State Senate,7,,Flagler,10,1,0,0,1
Under Votes,State Senate,7,,Flagler,10,167,69,56,42
Paul Renner,State House,24,REP,Flagler,10,1784,749,814,221
Adam Morley,State House,24,DEM,Flagler,10,1175,796,296,83
Over Votes,State House,24,,Flagler,10,0,0,0,0
Under Votes,State House,24,,Flagler,10,168,75,52,41
Registered Voters,,,,Flagler,11,3503,,,
Ballots Cast,,,,Flagler,11,2562,1063,959,540
Ballots Cast Blank,,,,Flagler,11,0,0,0,0
Donald J. Trump,President,,REP,Flagler,11,1374,427,613,334
Joseph R. Biden,President,,DEM,Flagler,11,1141,615,337,189
Jo Jorgensen,President,,LPF,Flagler,11,13,3,4,6
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,11,3,1,2,0
Gloria La Riva,President,,PSL,Flagler,11,1,1,0,0
Howie Hawkins,President,,GRE,Flagler,11,4,1,0,3
Don Blankenship,President,,CPF,Flagler,11,0,0,0,0
Write-In,President,,,Flagler,11,13,8,0,5
Over Votes,President,,,Flagler,11,4,0,2,2
Under Votes,President,,,Flagler,11,9,7,1,1
Michael Waltz,U.S. House,6,REP,Flagler,11,1359,442,599,318
Clint Curtis,U.S. House,6,DEM,Flagler,11,1101,588,327,186
Write-In,U.S. House,6,,Flagler,11,5,2,0,3
Over Votes,U.S. House,6,,Flagler,11,0,0,0,0
Under Votes,U.S. House,6,,Flagler,11,97,31,33,33
Travis J Hutson,State Senate,7,REP,Flagler,11,1319,426,586,307
Heather Hunter,State Senate,7,DEM,Flagler,11,1110,593,329,188
Write-In,State Senate,7,,Flagler,11,6,3,1,2
Over Votes,State Senate,7,,Flagler,11,0,0,0,0
Under Votes,State Senate,7,,Flagler,11,127,41,43,43
Paul Renner,State House,24,REP,Flagler,11,1325,427,593,305
Adam Morley,State House,24,DEM,Flagler,11,1114,592,328,194
Over Votes,State House,24,,Flagler,11,0,0,0,0
Under Votes,State House,24,,Flagler,11,123,44,38,41
Registered Voters,,,,Flagler,13,3550,,,
Ballots Cast,,,,Flagler,13,2694,1068,1159,467
Ballots Cast Blank,,,,Flagler,13,1,0,1,0
Donald J. Trump,President,,REP,Flagler,13,1464,399,744,321
Joseph R. Biden,President,,DEM,Flagler,13,1184,642,402,140
Jo Jorgensen,President,,LPF,Flagler,13,17,13,1,3
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,13,3,1,1,1
Gloria La Riva,President,,PSL,Flagler,13,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,13,0,0,0,0
Don Blankenship,President,,CPF,Flagler,13,1,1,0,0
Write-In,President,,,Flagler,13,7,4,2,1
Over Votes,President,,,Flagler,13,7,0,7,0
Under Votes,President,,,Flagler,13,11,8,2,1
Michael Waltz,U.S. House,6,REP,Flagler,13,1459,415,735,309
Clint Curtis,U.S. House,6,DEM,Flagler,13,1129,617,378,134
Write-In,U.S. House,6,,Flagler,13,0,0,0,0
Over Votes,U.S. House,6,,Flagler,13,1,0,1,0
Under Votes,U.S. House,6,,Flagler,13,105,36,45,24
Travis J Hutson,State Senate,7,REP,Flagler,13,1422,409,713,300
Heather Hunter,State Senate,7,DEM,Flagler,13,1136,615,384,137
Write-In,State Senate,7,,Flagler,13,0,0,0,0
Over Votes,State Senate,7,,Flagler,13,1,0,1,0
Under Votes,State Senate,7,,Flagler,13,135,44,61,30
Paul Renner,State House,24,REP,Flagler,13,1409,397,711,301
Adam Morley,State House,24,DEM,Flagler,13,1144,617,393,134
Over Votes,State House,24,,Flagler,13,1,0,1,0
Under Votes,State House,24,,Flagler,13,140,54,54,32
Registered Voters,,,,Flagler,14,5265,,,
Ballots Cast,,,,Flagler,14,4071,1806,1663,602
Ballots Cast Blank,,,,Flagler,14,0,0,0,0
Donald J. Trump,President,,REP,Flagler,14,2296,713,1162,421
Joseph R. Biden,President,,DEM,Flagler,14,1704,1059,478,167
Jo Jorgensen,President,,LPF,Flagler,14,19,8,7,4
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,14,2,1,0,1
Gloria La Riva,President,,PSL,Flagler,14,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,14,7,2,2,3
Don Blankenship,President,,CPF,Flagler,14,1,1,0,0
Write-In,President,,,Flagler,14,11,5,2,4
Over Votes,President,,,Flagler,14,10,0,10,0
Under Votes,President,,,Flagler,14,21,17,2,2
Michael Waltz,U.S. House,6,REP,Flagler,14,2303,747,1147,409
Clint Curtis,U.S. House,6,DEM,Flagler,14,1608,1001,450,157
Write-In,U.S. House,6,,Flagler,14,3,0,1,2
Over Votes,U.S. House,6,,Flagler,14,0,0,0,0
Under Votes,U.S. House,6,,Flagler,14,157,58,65,34
Travis J Hutson,State Senate,7,REP,Flagler,14,2221,715,1110,396
Heather Hunter,State Senate,7,DEM,Flagler,14,1632,1009,460,163
Write-In,State Senate,7,,Flagler,14,1,0,1,0
Over Votes,State Senate,7,,Flagler,14,0,0,0,0
Under Votes,State Senate,7,,Flagler,14,217,82,92,43
Paul Renner,State House,24,REP,Flagler,14,2236,722,1115,399
Adam Morley,State House,24,DEM,Flagler,14,1614,994,462,158
Over Votes,State House,24,,Flagler,14,0,0,0,0
Under Votes,State House,24,,Flagler,14,221,90,86,45
Registered Voters,,,,Flagler,15,3702,,,
Ballots Cast,,,,Flagler,15,2638,1083,1075,480
Ballots Cast Blank,,,,Flagler,15,0,0,0,0
Donald J. Trump,President,,REP,Flagler,15,1402,432,662,308
Joseph R. Biden,President,,DEM,Flagler,15,1202,635,400,167
Jo Jorgensen,President,,LPF,Flagler,15,11,4,4,3
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,15,1,1,0,0
Gloria La Riva,President,,PSL,Flagler,15,1,0,1,0
Howie Hawkins,President,,GRE,Flagler,15,0,0,0,0
Don Blankenship,President,,CPF,Flagler,15,3,1,1,1
Write-In,President,,,Flagler,15,8,4,3,1
Over Votes,President,,,Flagler,15,2,0,2,0
Under Votes,President,,,Flagler,15,8,6,2,0
Michael Waltz,U.S. House,6,REP,Flagler,15,1409,452,655,302
Clint Curtis,U.S. House,6,DEM,Flagler,15,1145,593,384,168
Write-In,U.S. House,6,,Flagler,15,3,2,1,0
Over Votes,U.S. House,6,,Flagler,15,0,0,0,0
Under Votes,U.S. House,6,,Flagler,15,81,36,35,10
Travis J Hutson,State Senate,7,REP,Flagler,15,1345,421,639,285
Heather Hunter,State Senate,7,DEM,Flagler,15,1172,616,386,170
Write-In,State Senate,7,,Flagler,15,1,0,1,0
Over Votes,State Senate,7,,Flagler,15,0,0,0,0
Under Votes,State Senate,7,,Flagler,15,120,46,49,25
Paul Renner,State House,24,REP,Flagler,15,1371,439,643,289
Adam Morley,State House,24,DEM,Flagler,15,1148,597,382,169
Over Votes,State House,24,,Flagler,15,1,0,1,0
Under Votes,State House,24,,Flagler,15,118,47,49,22
Registered Voters,,,,Flagler,16,2881,,,
Ballots Cast,,,,Flagler,16,2093,926,801,366
Ballots Cast Blank,,,,Flagler,16,2,2,0,0
Donald J. Trump,President,,REP,Flagler,16,1156,367,546,243
Joseph R. Biden,President,,DEM,Flagler,16,896,537,246,113
Jo Jorgensen,President,,LPF,Flagler,16,11,6,4,1
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,16,1,1,0,0
Gloria La Riva,President,,PSL,Flagler,16,1,0,0,1
Howie Hawkins,President,,GRE,Flagler,16,4,2,0,2
Don Blankenship,President,,CPF,Flagler,16,1,0,0,1
Write-In,President,,,Flagler,16,4,2,1,1
Over Votes,President,,,Flagler,16,5,0,2,3
Under Votes,President,,,Flagler,16,14,11,2,1
Michael Waltz,U.S. House,6,REP,Flagler,16,1170,393,537,240
Clint Curtis,U.S. House,6,DEM,Flagler,16,837,495,238,104
Write-In,U.S. House,6,,Flagler,16,1,1,0,0
Over Votes,U.S. House,6,,Flagler,16,0,0,0,0
Under Votes,U.S. House,6,,Flagler,16,85,37,26,22
Travis J Hutson,State Senate,7,REP,Flagler,16,1114,363,517,234
Heather Hunter,State Senate,7,DEM,Flagler,16,855,510,244,101
Write-In,State Senate,7,,Flagler,16,1,1,0,0
Over Votes,State Senate,7,,Flagler,16,0,0,0,0
Under Votes,State Senate,7,,Flagler,16,123,52,40,31
Paul Renner,State House,24,REP,Flagler,16,1136,374,530,232
Adam Morley,State House,24,DEM,Flagler,16,843,501,238,104
Over Votes,State House,24,,Flagler,16,0,0,0,0
Under Votes,State House,24,,Flagler,16,114,51,33,30
Registered Voters,,,,Flagler,17,2035,,,
Ballots Cast,,,,Flagler,17,1460,571,570,319
Ballots Cast Blank,,,,Flagler,17,0,0,0,0
Donald J. Trump,President,,REP,Flagler,17,819,237,368,214
Joseph R. Biden,President,,DEM,Flagler,17,623,327,198,98
Jo Jorgensen,President,,LPF,Flagler,17,8,1,2,5
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,17,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,17,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,17,2,1,0,1
Don Blankenship,President,,CPF,Flagler,17,0,0,0,0
Write-In,President,,,Flagler,17,2,1,0,1
Over Votes,President,,,Flagler,17,2,0,2,0
Under Votes,President,,,Flagler,17,4,4,0,0
Michael Waltz,U.S. House,6,REP,Flagler,17,802,238,359,205
Clint Curtis,U.S. House,6,DEM,Flagler,17,600,314,191,95
Write-In,U.S. House,6,,Flagler,17,1,0,0,1
Over Votes,U.S. House,6,,Flagler,17,1,0,1,0
Under Votes,U.S. House,6,,Flagler,17,56,19,19,18
Travis J Hutson,State Senate,7,REP,Flagler,17,775,231,352,192
Heather Hunter,State Senate,7,DEM,Flagler,17,602,310,194,98
Write-In,State Senate,7,,Flagler,17,1,0,0,1
Over Votes,State Senate,7,,Flagler,17,1,0,1,0
Under Votes,State Senate,7,,Flagler,17,81,30,23,28
Paul Renner,State House,24,REP,Flagler,17,783,230,355,198
Adam Morley,State House,24,DEM,Flagler,17,594,309,189,96
Over Votes,State House,24,,Flagler,17,1,0,1,0
Under Votes,State House,24,,Flagler,17,82,32,25,25
Registered Voters,,,,Flagler,18,4790,,,
Ballots Cast,,,,Flagler,18,3805,1827,1451,527
Ballots Cast Blank,,,,Flagler,18,3,1,2,0
Donald J. Trump,President,,REP,Flagler,18,2013,659,985,369
Joseph R. Biden,President,,DEM,Flagler,18,1735,1142,453,140
Jo Jorgensen,President,,LPF,Flagler,18,14,2,5,7
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,18,3,3,0,0
Gloria La Riva,President,,PSL,Flagler,18,6,3,1,2
Howie Hawkins,President,,GRE,Flagler,18,4,3,0,1
Don Blankenship,President,,CPF,Flagler,18,1,1,0,0
Write-In,President,,,Flagler,18,13,7,0,6
Over Votes,President,,,Flagler,18,4,0,4,0
Under Votes,President,,,Flagler,18,12,7,3,2
Michael Waltz,U.S. House,6,REP,Flagler,18,2013,689,963,361
Clint Curtis,U.S. House,6,DEM,Flagler,18,1636,1069,431,136
Write-In,U.S. House,6,,Flagler,18,3,2,1,0
Over Votes,U.S. House,6,,Flagler,18,0,0,0,0
Under Votes,U.S. House,6,,Flagler,18,153,67,56,30
Travis J Hutson,State Senate,7,REP,Flagler,18,1921,644,934,343
Heather Hunter,State Senate,7,DEM,Flagler,18,1673,1088,441,144
Write-In,State Senate,7,,Flagler,18,5,3,1,1
Over Votes,State Senate,7,,Flagler,18,0,0,0,0
Under Votes,State Senate,7,,Flagler,18,206,92,75,39
Paul Renner,State House,24,REP,Flagler,18,1980,668,958,354
Adam Morley,State House,24,DEM,Flagler,18,1610,1050,424,136
Over Votes,State House,24,,Flagler,18,0,0,0,0
Under Votes,State House,24,,Flagler,18,215,109,69,37
Registered Voters,,,,Flagler,19,4823,,,
Ballots Cast,,,,Flagler,19,3626,1464,1699,463
Ballots Cast Blank,,,,Flagler,19,0,0,0,0
Donald J. Trump,President,,REP,Flagler,19,1946,541,1111,294
Joseph R. Biden,President,,DEM,Flagler,19,1623,896,569,158
Jo Jorgensen,President,,LPF,Flagler,19,26,15,7,4
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,19,3,0,1,2
Gloria La Riva,President,,PSL,Flagler,19,3,3,0,0
Howie Hawkins,President,,GRE,Flagler,19,0,0,0,0
Don Blankenship,President,,CPF,Flagler,19,0,0,0,0
Write-In,President,,,Flagler,19,3,0,1,2
Over Votes,President,,,Flagler,19,10,0,8,2
Under Votes,President,,,Flagler,19,12,9,2,1
Michael Waltz,U.S. House,6,REP,Flagler,19,1951,577,1088,286
Clint Curtis,U.S. House,6,DEM,Flagler,19,1539,845,543,151
Write-In,U.S. House,6,,Flagler,19,1,1,0,0
Over Votes,U.S. House,6,,Flagler,19,0,0,0,0
Under Votes,U.S. House,6,,Flagler,19,135,41,68,26
Travis J Hutson,State Senate,7,REP,Flagler,19,1865,541,1052,272
Heather Hunter,State Senate,7,DEM,Flagler,19,1575,860,556,159
Write-In,State Senate,7,,Flagler,19,0,0,0,0
Over Votes,State Senate,7,,Flagler,19,1,0,1,0
Under Votes,State Senate,7,,Flagler,19,185,63,90,32
Paul Renner,State House,24,REP,Flagler,19,1895,562,1067,266
Adam Morley,State House,24,DEM,Flagler,19,1545,838,547,160
Over Votes,State House,24,,Flagler,19,0,0,0,0
Under Votes,State House,24,,Flagler,19,186,64,85,37
Registered Voters,,,,Flagler,20,4709,,,
Ballots Cast,,,,Flagler,20,3609,1389,1595,625
Ballots Cast Blank,,,,Flagler,20,0,0,0,0
Donald J. Trump,President,,REP,Flagler,20,2019,511,1066,442
Joseph R. Biden,President,,DEM,Flagler,20,1547,865,515,167
Jo Jorgensen,President,,LPF,Flagler,20,22,3,7,12
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,20,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,20,1,1,0,0
Howie Hawkins,President,,GRE,Flagler,20,3,1,1,1
Don Blankenship,President,,CPF,Flagler,20,1,1,0,0
Write-In,President,,,Flagler,20,4,1,0,3
Over Votes,President,,,Flagler,20,3,0,3,0
Under Votes,President,,,Flagler,20,9,6,3,0
Michael Waltz,U.S. House,6,REP,Flagler,20,2012,520,1052,440
Clint Curtis,U.S. House,6,DEM,Flagler,20,1461,827,485,149
Write-In,U.S. House,6,,Flagler,20,1,0,1,0
Over Votes,U.S. House,6,,Flagler,20,0,0,0,0
Under Votes,U.S. House,6,,Flagler,20,135,42,57,36
Travis J Hutson,State Senate,7,REP,Flagler,20,1963,510,1035,418
Heather Hunter,State Senate,7,DEM,Flagler,20,1466,824,483,159
Write-In,State Senate,7,,Flagler,20,1,0,1,0
Over Votes,State Senate,7,,Flagler,20,0,0,0,0
Under Votes,State Senate,7,,Flagler,20,179,55,76,48
Paul Renner,State House,24,REP,Flagler,20,1954,517,1021,416
Adam Morley,State House,24,DEM,Flagler,20,1454,809,483,162
Over Votes,State House,24,,Flagler,20,1,0,0,1
Under Votes,State House,24,,Flagler,20,200,63,91,46
Registered Voters,,,,Flagler,21,3690,,,
Ballots Cast,,,,Flagler,21,2857,1035,1305,517
Ballots Cast Blank,,,,Flagler,21,0,0,0,0
Donald J. Trump,President,,REP,Flagler,21,1645,359,922,364
Joseph R. Biden,President,,DEM,Flagler,21,1172,659,374,139
Jo Jorgensen,President,,LPF,Flagler,21,19,1,5,13
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,21,2,1,1,0
Gloria La Riva,President,,PSL,Flagler,21,1,0,1,0
Howie Hawkins,President,,GRE,Flagler,21,0,0,0,0
Don Blankenship,President,,CPF,Flagler,21,1,0,1,0
Write-In,President,,,Flagler,21,6,4,1,1
Over Votes,President,,,Flagler,21,0,0,0,0
Under Votes,President,,,Flagler,21,11,11,0,0
Michael Waltz,U.S. House,6,REP,Flagler,21,1655,377,915,363
Clint Curtis,U.S. House,6,DEM,Flagler,21,1092,611,352,129
Write-In,U.S. House,6,,Flagler,21,5,3,0,2
Over Votes,U.S. House,6,,Flagler,21,0,0,0,0
Under Votes,U.S. House,6,,Flagler,21,105,44,38,23
Travis J Hutson,State Senate,7,REP,Flagler,21,1616,368,892,356
Heather Hunter,State Senate,7,DEM,Flagler,21,1104,611,358,135
Write-In,State Senate,7,,Flagler,21,3,2,0,1
Over Votes,State Senate,7,,Flagler,21,0,0,0,0
Under Votes,State Senate,7,,Flagler,21,134,54,55,25
Paul Renner,State House,24,REP,Flagler,21,1611,366,884,361
Adam Morley,State House,24,DEM,Flagler,21,1105,614,361,130
Over Votes,State House,24,,Flagler,21,0,0,0,0
Under Votes,State House,24,,Flagler,21,141,55,60,26
Registered Voters,,,,Flagler,23,5224,,,
Ballots Cast,,,,Flagler,23,4085,1843,1683,559
Ballots Cast Blank,,,,Flagler,23,0,0,0,0
Donald J. Trump,President,,REP,Flagler,23,2474,820,1235,419
